Gene,DE
ENSG00000181577,True
ENSG00000128322,True
ENSG00000177606,True
ENSG00000148600,True
ENSG00000164309,True
ENSG00000175567,True
ENSG00000226777,True
ENSG00000184545,True
ENSG00000092067,True
ENSG00000114480,True
ENSG00000010610,True
ENSG00000158477,True
ENSG00000169994,True
ENSG00000085465,True
ENSG00000056558,True
ENSG00000134594,True
ENSG00000087589,True
ENSG00000247095,True
ENSG00000226806,True
ENSG00000143847,True
ENSG00000225855,True
ENSG00000070985,True
ENSG00000109107,True
ENSG00000205336,True
ENSG00000237940,True
ENSG00000228109,True
ENSG00000180573,True
ENSG00000272789,True
ENSG00000137959,True
ENSG00000137959,True
ENSG00000114268,True
ENSG00000172005,True
ENSG00000151012,True
ENSG00000278709,True
ENSG00000083635,True
ENSG00000133574,True
ENSG00000088881,True
ENSG00000254815,True
ENSG00000171848,True
ENSG00000073849,True
ENSG00000259291,True
ENSG00000136603,True
ENSG00000197444,True
ENSG00000135452,True
ENSG00000165949,True
ENSG00000120915,True
ENSG00000172794,True
ENSG00000107447,True
ENSG00000255198,True
ENSG00000253320,True
ENSG00000131931,True
ENSG00000100027,True
ENSG00000136286,True
ENSG00000258441,True
ENSG00000162490,True
ENSG00000064886,True
ENSG00000183346,True
ENSG00000072135,True
ENSG00000182796,True
ENSG00000179934,True
ENSG00000137959,True
ENSG00000165949,True
ENSG00000168961,True
ENSG00000080823,True
ENSG00000278023,True
ENSG00000197019,True
ENSG00000198712,True
ENSG00000146122,True
ENSG00000255587,True
ENSG00000277149,True
ENSG00000214193,True
ENSG00000136114,True
ENSG00000235688,True
ENSG00000151892,True
ENSG00000166478,True
ENSG00000136891,True
ENSG00000126368,True
ENSG00000112972,True
ENSG00000237424,True
ENSG00000151136,True
ENSG00000273117,True
ENSG00000167123,True
ENSG00000115844,True
ENSG00000253251,True
ENSG00000163378,True
ENSG00000163975,True
ENSG00000104856,True
ENSG00000237499,True
ENSG00000160285,True
ENSG00000131471,True
ENSG00000143578,True
ENSG00000257167,True
ENSG00000176890,True
ENSG00000165949,True
ENSG00000160298,True
ENSG00000100908,True
ENSG00000100968,True
ENSG00000266714,True
ENSG00000187210,True
ENSG00000128918,True
ENSG00000215246,True
ENSG00000171435,True
ENSG00000214279,True
ENSG00000235823,True
ENSG00000054793,True
ENSG00000089486,True
ENSG00000167799,True
ENSG00000166803,True
ENSG00000124615,True
ENSG00000198771,True
ENSG00000117016,True
ENSG00000164463,True
ENSG00000143494,True
ENSG00000160752,True
ENSG00000205309,True
ENSG00000141295,True
ENSG00000187837,True
ENSG00000119514,True
ENSG00000117266,True
ENSG00000248008,True
ENSG00000198804,True
ENSG00000146054,True
ENSG00000284543,True
ENSG00000068028,True
ENSG00000272168,True
ENSG00000137642,True
ENSG00000134824,True
ENSG00000225648,True
ENSG00000235194,True
ENSG00000175643,True
ENSG00000100629,True
ENSG00000141526,True
ENSG00000102245,True
ENSG00000124334,True
ENSG00000172602,True
