"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0000015",1,1,2,2,"phosphopyruvate hydratase complex","CC",1
"GO:0000109",1,1,1,1,"nucleotide-excision repair complex","CC",1
"GO:0000110",1,1,1,1,"nucleotide-excision repair factor 1 complex","CC",1
"GO:0000118",1,1,4,4,"histone deacetylase complex","CC",1
"GO:0000120",1,1,1,1,"RNA polymerase I transcription regulator complex","CC",1
"GO:0000123",1,1,6,6,"histone acetyltransferase complex","CC",1
"GO:0000137",1,1,1,1,"Golgi cis cisterna","CC",1
"GO:0000138",1,1,1,1,"Golgi trans cisterna","CC",1
"GO:0000139",1,1,34,34,"Golgi membrane","CC",1
"GO:0000151",1,1,13,13,"ubiquitin ligase complex","CC",1
"GO:0000152",1,1,2,2,"nuclear ubiquitin ligase complex","CC",1
"GO:0000159",1,1,2,2,"protein phosphatase type 2A complex","CC",1
"GO:0000164",1,1,2,2,"protein phosphatase type 1 complex","CC",1
"GO:0000172",1,1,1,1,"ribonuclease MRP complex","CC",1
"GO:0000177",1,1,1,1,"cytoplasmic exosome (RNase complex)","CC",1
"GO:0000178",1,1,1,1,"exosome (RNase complex)","CC",1
"GO:0000220",1,1,3,3,"vacuolar proton-transporting V-type ATPase, V0 domain","CC",1
"GO:0000228",1,1,14,14,"nuclear chromosome","CC",1
"GO:0000235",1,1,1,1,"astral microtubule","CC",1
"GO:0000243",1,1,1,1,"commitment complex","CC",1
"GO:0000276",1,1,1,1,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)","CC",1
"GO:0000307",1,1,2,2,"cyclin-dependent protein kinase holoenzyme complex","CC",1
"GO:0000313",1,1,1,1,"organellar ribosome","CC",1
"GO:0000315",1,1,1,1,"organellar large ribosomal subunit","CC",1
"GO:0000323",1,1,51,51,"lytic vacuole","CC",1
"GO:0000333",1,1,1,1,"telomerase catalytic core complex","CC",1
"GO:0000346",1,1,1,1,"transcription export complex","CC",1
"GO:0000407",1,1,2,2,"phagophore assembly site","CC",1
"GO:0000421",1,1,4,4,"autophagosome membrane","CC",1
"GO:0000428",1,1,5,5,"DNA-directed RNA polymerase complex","CC",1
"GO:0000439",1,1,1,1,"transcription factor TFIIH core complex","CC",1
"GO:0000502",1,1,1,1,"proteasome complex","CC",1
"GO:0000775",1,1,18,18,"chromosome, centromeric region","CC",1
"GO:0000776",1,1,11,11,"kinetochore","CC",1
"GO:0000779",1,1,11,11,"condensed chromosome, centromeric region","CC",1
"GO:0000781",1,1,8,8,"chromosome, telomeric region","CC",1
"GO:0000782",1,1,2,2,"telomere cap complex","CC",1
"GO:0000783",1,1,2,2,"nuclear telomere cap complex","CC",1
"GO:0000785",1,1,71,71,"chromatin","CC",1
"GO:0000786",1,1,10,10,"nucleosome","CC",1
"GO:0000791",1,1,6,6,"euchromatin","CC",1
"GO:0000792",1,1,2,2,"heterochromatin","CC",1
"GO:0000793",1,1,14,14,"condensed chromosome","CC",1
"GO:0000794",1,1,3,3,"condensed nuclear chromosome","CC",1
"GO:0000795",1,1,2,2,"synaptonemal complex","CC",1
"GO:0000811",1,1,1,1,"GINS complex","CC",1
"GO:0000812",1,1,1,1,"Swr1 complex","CC",1
"GO:0000813",1,1,1,1,"ESCRT I complex","CC",1
"GO:0000815",1,1,1,1,"ESCRT III complex","CC",1
"GO:0000922",1,1,13,13,"spindle pole","CC",1
"GO:0000932",1,1,3,3,"P-body","CC",1
"GO:0000939",1,1,1,1,"inner kinetochore","CC",1
"GO:0000940",1,1,3,3,"outer kinetochore","CC",1
"GO:0001527",1,1,1,1,"microfibril","CC",1
"GO:0001533",1,1,2,2,"cornified envelope","CC",1
"GO:0001650",1,1,16,16,"fibrillar center","CC",1
"GO:0001652",1,1,2,2,"granular component","CC",1
"GO:0001669",1,1,9,9,"acrosomal vesicle","CC",1
"GO:0001673",1,1,4,4,"male germ cell nucleus","CC",1
"GO:0001674",1,1,1,1,"female germ cell nucleus","CC",1
"GO:0001725",1,1,6,6,"stress fiber","CC",1
"GO:0001726",1,1,12,12,"ruffle","CC",1
"GO:0001750",1,1,4,4,"photoreceptor outer segment","CC",1
"GO:0001772",1,1,3,3,"immunological synapse","CC",1
"GO:0001891",1,1,2,2,"phagocytic cup","CC",1
"GO:0001917",1,1,2,2,"photoreceptor inner segment","CC",1
"GO:0002080",1,1,3,3,"acrosomal membrane","CC",1
"GO:0002102",1,1,3,3,"podosome","CC",1
"GO:0005575",1,1,857,857,"cellular_component","CC",1
"GO:0005576",1,1,172,172,"extracellular region","CC",1
"GO:0005579",1,1,1,1,"membrane attack complex","CC",1
"GO:0005581",1,1,1,1,"collagen trimer","CC",1
"GO:0005604",1,1,3,3,"basement membrane","CC",1
"GO:0005615",1,1,139,139,"extracellular space","CC",1
"GO:0005622",1,1,775,775,"intracellular anatomical structure","CC",1
"GO:0005634",1,1,439,439,"nucleus","CC",1
"GO:0005635",1,1,34,34,"nuclear envelope","CC",1
"GO:0005637",1,1,5,5,"nuclear inner membrane","CC",1
"GO:0005640",1,1,2,2,"nuclear outer membrane","CC",1
"GO:0005641",1,1,1,1,"nuclear envelope lumen","CC",1
"GO:0005643",1,1,3,3,"nuclear pore","CC",1
"GO:0005654",1,1,268,268,"nucleoplasm","CC",1
"GO:0005655",1,1,1,1,"nucleolar ribonuclease P complex","CC",1
"GO:0005657",1,1,2,2,"replication fork","CC",1
"GO:0005666",1,1,3,3,"RNA polymerase III complex","CC",1
"GO:0005667",1,1,36,36,"transcription regulator complex","CC",1
"GO:0005668",1,1,1,1,"RNA polymerase transcription factor SL1 complex","CC",1
"GO:0005669",1,1,1,1,"transcription factor TFIID complex","CC",1
"GO:0005675",1,1,1,1,"transcription factor TFIIH holo complex","CC",1
"GO:0005677",1,1,1,1,"chromatin silencing complex","CC",1
"GO:0005680",1,1,1,1,"anaphase-promoting complex","CC",1
"GO:0005681",1,1,17,17,"spliceosomal complex","CC",1
"GO:0005682",1,1,1,1,"U5 snRNP","CC",1
"GO:0005684",1,1,6,6,"U2-type spliceosomal complex","CC",1
"GO:0005685",1,1,1,1,"U1 snRNP","CC",1
"GO:0005694",1,1,106,106,"chromosome","CC",1
"GO:0005697",1,1,2,2,"telomerase holoenzyme complex","CC",1
"GO:0005721",1,1,2,2,"pericentric heterochromatin","CC",1
"GO:0005726",1,1,1,1,"perichromatin fibrils","CC",1
"GO:0005730",1,1,88,88,"nucleolus","CC",1
"GO:0005732",1,1,3,3,"sno(s)RNA-containing ribonucleoprotein complex","CC",1
"GO:0005736",1,1,1,1,"RNA polymerase I complex","CC",1
"GO:0005737",1,1,627,627,"cytoplasm","CC",1
"GO:0005739",1,1,111,111,"mitochondrion","CC",1
"GO:0005740",1,1,48,48,"mitochondrial envelope","CC",1
"GO:0005741",1,1,10,10,"mitochondrial outer membrane","CC",1
"GO:0005743",1,1,34,34,"mitochondrial inner membrane","CC",1
"GO:0005744",1,1,3,3,"TIM23 mitochondrial import inner membrane translocase complex","CC",1
"GO:0005746",1,1,10,10,"mitochondrial respirasome","CC",1
"GO:0005747",1,1,5,5,"mitochondrial respiratory chain complex I","CC",1
"GO:0005750",1,1,2,2,"mitochondrial respiratory chain complex III","CC",1
"GO:0005751",1,1,3,3,"mitochondrial respiratory chain complex IV","CC",1
"GO:0005753",1,1,2,2,"mitochondrial proton-transporting ATP synthase complex","CC",1
"GO:0005758",1,1,3,3,"mitochondrial intermembrane space","CC",1
"GO:0005759",1,1,33,33,"mitochondrial matrix","CC",1
"GO:0005760",1,1,1,1,"gamma DNA polymerase complex","CC",1
"GO:0005761",1,1,1,1,"mitochondrial ribosome","CC",1
"GO:0005762",1,1,1,1,"mitochondrial large ribosomal subunit","CC",1
"GO:0005764",1,1,51,51,"lysosome","CC",1
"GO:0005765",1,1,34,34,"lysosomal membrane","CC",1
"GO:0005766",1,1,13,13,"primary lysosome","CC",1
"GO:0005767",1,1,1,1,"secondary lysosome","CC",1
"GO:0005768",1,1,59,59,"endosome","CC",1
"GO:0005769",1,1,25,25,"early endosome","CC",1
"GO:0005770",1,1,19,19,"late endosome","CC",1
"GO:0005771",1,1,4,4,"multivesicular body","CC",1
"GO:0005773",1,1,55,55,"vacuole","CC",1
"GO:0005774",1,1,37,37,"vacuolar membrane","CC",1
"GO:0005775",1,1,13,13,"vacuolar lumen","CC",1
"GO:0005776",1,1,7,7,"autophagosome","CC",1
"GO:0005777",1,1,7,7,"peroxisome","CC",1
"GO:0005778",1,1,2,2,"peroxisomal membrane","CC",1
"GO:0005782",1,1,2,2,"peroxisomal matrix","CC",1
"GO:0005783",1,1,105,105,"endoplasmic reticulum","CC",1
"GO:0005784",1,1,1,1,"Sec61 translocon complex","CC",1
"GO:0005788",1,1,10,10,"endoplasmic reticulum lumen","CC",1
"GO:0005789",1,1,61,61,"endoplasmic reticulum membrane","CC",1
"GO:0005790",1,1,1,1,"smooth endoplasmic reticulum","CC",1
"GO:0005791",1,1,4,4,"rough endoplasmic reticulum","CC",1
"GO:0005793",1,1,8,8,"endoplasmic reticulum-Golgi intermediate compartment","CC",1
"GO:0005794",1,1,89,89,"Golgi apparatus","CC",1
"GO:0005795",1,1,7,7,"Golgi stack","CC",1
"GO:0005796",1,1,3,3,"Golgi lumen","CC",1
"GO:0005797",1,1,1,1,"Golgi medial cisterna","CC",1
"GO:0005798",1,1,2,2,"Golgi-associated vesicle","CC",1
"GO:0005801",1,1,3,3,"cis-Golgi network","CC",1
"GO:0005802",1,1,13,13,"trans-Golgi network","CC",1
"GO:0005811",1,1,7,7,"lipid droplet","CC",1
"GO:0005813",1,1,38,38,"centrosome","CC",1
"GO:0005814",1,1,8,8,"centriole","CC",1
"GO:0005815",1,1,47,47,"microtubule organizing center","CC",1
"GO:0005818",1,1,1,1,"aster","CC",1
"GO:0005819",1,1,28,28,"spindle","CC",1
"GO:0005827",1,1,1,1,"polar microtubule","CC",1
"GO:0005828",1,1,2,2,"kinetochore microtubule","CC",1
"GO:0005829",1,1,308,308,"cytosol","CC",1
"GO:0005840",1,1,12,12,"ribosome","CC",1
"GO:0005844",1,1,3,3,"polysome","CC",1
"GO:0005845",1,1,1,1,"mRNA cap binding complex","CC",1
"GO:0005849",1,1,2,2,"mRNA cleavage factor complex","CC",1
"GO:0005853",1,1,2,2,"eukaryotic translation elongation factor 1 complex","CC",1
"GO:0005856",1,1,133,133,"cytoskeleton","CC",1
"GO:0005858",1,1,1,1,"axonemal dynein complex","CC",1
"GO:0005868",1,1,2,2,"cytoplasmic dynein complex","CC",1
"GO:0005871",1,1,2,2,"kinesin complex","CC",1
"GO:0005874",1,1,31,31,"microtubule","CC",1
"GO:0005875",1,1,11,11,"microtubule associated complex","CC",1
"GO:0005876",1,1,8,8,"spindle microtubule","CC",1
"GO:0005879",1,1,1,1,"axonemal microtubule","CC",1
"GO:0005881",1,1,3,3,"cytoplasmic microtubule","CC",1
"GO:0005882",1,1,6,6,"intermediate filament","CC",1
"GO:0005883",1,1,1,1,"neurofilament","CC",1
"GO:0005884",1,1,10,10,"actin filament","CC",1
"GO:0005886",1,1,237,237,"plasma membrane","CC",1
"GO:0005891",1,1,1,1,"voltage-gated calcium channel complex","CC",1
"GO:0005901",1,1,3,3,"caveola","CC",1
"GO:0005902",1,1,5,5,"microvillus","CC",1
"GO:0005903",1,1,4,4,"brush border","CC",1
"GO:0005905",1,1,4,4,"clathrin-coated pit","CC",1
"GO:0005911",1,1,20,20,"cell-cell junction","CC",1
"GO:0005912",1,1,9,9,"adherens junction","CC",1
"GO:0005915",1,1,1,1,"zonula adherens","CC",1
"GO:0005916",1,1,2,2,"fascia adherens","CC",1
"GO:0005923",1,1,4,4,"bicellular tight junction","CC",1
"GO:0005925",1,1,24,24,"focal adhesion","CC",1
"GO:0005927",1,1,1,1,"muscle tendon junction","CC",1
"GO:0005929",1,1,21,21,"cilium","CC",1
"GO:0005930",1,1,6,6,"axoneme","CC",1
"GO:0005938",1,1,12,12,"cell cortex","CC",1
"GO:0005942",1,1,4,4,"phosphatidylinositol 3-kinase complex","CC",1
"GO:0005943",1,1,2,2,"phosphatidylinositol 3-kinase complex, class IA","CC",1
"GO:0005944",1,1,1,1,"phosphatidylinositol 3-kinase complex, class IB","CC",1
"GO:0005945",1,1,2,2,"6-phosphofructokinase complex","CC",1
"GO:0005947",1,1,1,1,"mitochondrial alpha-ketoglutarate dehydrogenase complex","CC",1
"GO:0005967",1,1,1,1,"mitochondrial pyruvate dehydrogenase complex","CC",1
"GO:0005968",1,1,1,1,"Rab-protein geranylgeranyltransferase complex","CC",1
"GO:0005971",1,1,1,1,"ribonucleoside-diphosphate reductase complex","CC",1
"GO:0008021",1,1,6,6,"synaptic vesicle","CC",1
"GO:0008023",1,1,3,3,"transcription elongation factor complex","CC",1
"GO:0008076",1,1,1,1,"voltage-gated potassium channel complex","CC",1
"GO:0008091",1,1,1,1,"spectrin","CC",1
"GO:0008278",1,1,1,1,"cohesin complex","CC",1
"GO:0008287",1,1,5,5,"protein serine/threonine phosphatase complex","CC",1
"GO:0008305",1,1,1,1,"integrin complex","CC",1
"GO:0008328",1,1,2,2,"ionotropic glutamate receptor complex","CC",1
"GO:0008352",1,1,1,1,"katanin complex","CC",1
"GO:0009295",1,1,4,4,"nucleoid","CC",1
"GO:0009330",1,1,1,1,"DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) complex","CC",1
"GO:0009360",1,1,1,1,"DNA polymerase III complex","CC",1
"GO:0009897",1,1,25,25,"external side of plasma membrane","CC",1
"GO:0009898",1,1,6,6,"cytoplasmic side of plasma membrane","CC",1
"GO:0009925",1,1,13,13,"basal plasma membrane","CC",1
"GO:0009986",1,1,54,54,"cell surface","CC",1
"GO:0010008",1,1,28,28,"endosome membrane","CC",1
"GO:0010009",1,1,2,2,"cytoplasmic side of endosome membrane","CC",1
"GO:0010494",1,1,1,1,"cytoplasmic stress granule","CC",1
"GO:0012505",1,1,252,252,"endomembrane system","CC",1
"GO:0012506",1,1,65,65,"vesicle membrane","CC",1
"GO:0012507",1,1,2,2,"ER to Golgi transport vesicle membrane","CC",1
"GO:0014069",1,1,13,13,"postsynaptic density","CC",1
"GO:0014704",1,1,2,2,"intercalated disc","CC",1
"GO:0014731",1,1,1,1,"spectrin-associated cytoskeleton","CC",1
"GO:0015030",1,1,9,9,"Cajal body","CC",1
"GO:0015629",1,1,32,32,"actin cytoskeleton","CC",1
"GO:0015630",1,1,77,77,"microtubule cytoskeleton","CC",1
"GO:0015934",1,1,4,4,"large ribosomal subunit","CC",1
"GO:0015935",1,1,3,3,"small ribosomal subunit","CC",1
"GO:0016020",1,1,419,419,"membrane","CC",1
"GO:0016234",1,1,2,2,"inclusion body","CC",1
"GO:0016272",1,1,1,1,"prefoldin complex","CC",1
"GO:0016282",1,1,2,2,"eukaryotic 43S preinitiation complex","CC",1
"GO:0016323",1,1,13,13,"basolateral plasma membrane","CC",1
"GO:0016324",1,1,10,10,"apical plasma membrane","CC",1
"GO:0016327",1,1,1,1,"apicolateral plasma membrane","CC",1
"GO:0016328",1,1,1,1,"lateral plasma membrane","CC",1
"GO:0016363",1,1,9,9,"nuclear matrix","CC",1
"GO:0016459",1,1,3,3,"myosin complex","CC",1
"GO:0016460",1,1,1,1,"myosin II complex","CC",1
"GO:0016469",1,1,5,5,"proton-transporting two-sector ATPase complex","CC",1
"GO:0016471",1,1,3,3,"vacuolar proton-transporting V-type ATPase complex","CC",1
"GO:0016528",1,1,3,3,"sarcoplasm","CC",1
"GO:0016529",1,1,2,2,"sarcoplasmic reticulum","CC",1
"GO:0016580",1,1,1,1,"Sin3 complex","CC",1
"GO:0016591",1,1,2,2,"RNA polymerase II, holoenzyme","CC",1
"GO:0016592",1,1,2,2,"mediator complex","CC",1
"GO:0016604",1,1,71,71,"nuclear body","CC",1
"GO:0016605",1,1,8,8,"PML body","CC",1
"GO:0016607",1,1,35,35,"nuclear speck","CC",1
"GO:0017053",1,1,9,9,"transcription repressor complex","CC",1
"GO:0017101",1,1,1,1,"aminoacyl-tRNA synthetase multienzyme complex","CC",1
"GO:0017146",1,1,1,1,"NMDA selective glutamate receptor complex","CC",1
"GO:0018995",1,1,2,2,"host cellular component","CC",1
"GO:0019005",1,1,1,1,"SCF ubiquitin ligase complex","CC",1
"GO:0019008",1,1,1,1,"molybdopterin synthase complex","CC",1
"GO:0019814",1,1,2,2,"immunoglobulin complex","CC",1
"GO:0019815",1,1,1,1,"B cell receptor complex","CC",1
"GO:0019866",1,1,39,39,"organelle inner membrane","CC",1
"GO:0019867",1,1,12,12,"outer membrane","CC",1
"GO:0019897",1,1,1,1,"extrinsic component of plasma membrane","CC",1
"GO:0019898",1,1,7,7,"extrinsic component of membrane","CC",1
"GO:0019908",1,1,1,1,"nuclear cyclin-dependent protein kinase holoenzyme complex","CC",1
"GO:0022625",1,1,3,3,"cytosolic large ribosomal subunit","CC",1
"GO:0022626",1,1,9,9,"cytosolic ribosome","CC",1
"GO:0022627",1,1,3,3,"cytosolic small ribosomal subunit","CC",1
"GO:0030008",1,1,1,1,"TRAPP complex","CC",1
"GO:0030016",1,1,6,6,"myofibril","CC",1
"GO:0030017",1,1,5,5,"sarcomere","CC",1
"GO:0030018",1,1,3,3,"Z disc","CC",1
"GO:0030027",1,1,15,15,"lamellipodium","CC",1
"GO:0030054",1,1,93,93,"cell junction","CC",1
"GO:0030055",1,1,25,25,"cell-substrate junction","CC",1
