"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0000014",1,1,1,1,"single-stranded DNA endodeoxyribonuclease activity","MF",1
"GO:0000026",1,1,1,1,"alpha-1,2-mannosyltransferase activity","MF",1
"GO:0000030",1,1,3,3,"mannosyltransferase activity","MF",1
"GO:0000049",1,1,8,8,"tRNA binding","MF",1
"GO:0000062",1,1,1,1,"fatty-acyl-CoA binding","MF",1
"GO:0000099",1,1,1,1,"sulfur amino acid transmembrane transporter activity","MF",1
"GO:0000146",1,1,2,2,"microfilament motor activity","MF",1
"GO:0000149",1,1,3,3,"SNARE binding","MF",1
"GO:0000166",1,1,143,143,"nucleotide binding","MF",1
"GO:0000175",1,1,1,1,"3'-5'-RNA exonuclease activity","MF",1
"GO:0000179",1,1,1,1,"rRNA (adenine-N6,N6-)-dimethyltransferase activity","MF",1
"GO:0000217",1,1,2,2,"DNA secondary structure binding","MF",1
"GO:0000248",1,1,1,1,"C-5 sterol desaturase activity","MF",1
"GO:0000250",1,1,1,1,"lanosterol synthase activity","MF",1
"GO:0000254",1,1,1,1,"C-4 methylsterol oxidase activity","MF",1
"GO:0000287",1,1,16,16,"magnesium ion binding","MF",1
"GO:0000295",1,1,1,1,"adenine nucleotide transmembrane transporter activity","MF",1
"GO:0000339",1,1,2,2,"RNA cap binding","MF",1
"GO:0000340",1,1,1,1,"RNA 7-methylguanosine cap binding","MF",1
"GO:0000700",1,1,1,1,"mismatch base pair DNA N-glycosylase activity","MF",1
"GO:0000701",1,1,1,1,"purine-specific mismatch base pair DNA N-glycosylase activity","MF",1
"GO:0000702",1,1,1,1,"oxidized base lesion DNA N-glycosylase activity","MF",1
"GO:0000774",1,1,3,3,"adenyl-nucleotide exchange factor activity","MF",1
"GO:0000827",1,1,1,1,"inositol-1,3,4,5,6-pentakisphosphate kinase activity","MF",1
"GO:0000828",1,1,1,1,"inositol hexakisphosphate kinase activity","MF",1
"GO:0000829",1,1,1,1,"inositol heptakisphosphate kinase activity","MF",1
"GO:0000832",1,1,1,1,"inositol hexakisphosphate 5-kinase activity","MF",1
"GO:0000900",1,1,2,2,"mRNA regulatory element binding translation repressor activity","MF",1
"GO:0000976",1,1,75,75,"transcription cis-regulatory region binding","MF",1
"GO:0000977",1,1,68,68,"RNA polymerase II transcription regulatory region sequence-specific DNA binding","MF",1
"GO:0000978",1,1,61,61,"RNA polymerase II cis-regulatory region sequence-specific DNA binding","MF",1
"GO:0000979",1,1,3,3,"RNA polymerase II core promoter sequence-specific DNA binding","MF",1
"GO:0000981",1,1,62,62,"DNA-binding transcription factor activity, RNA polymerase II-specific","MF",1
"GO:0000987",1,1,62,62,"cis-regulatory region sequence-specific DNA binding","MF",1
"GO:0000993",1,1,5,5,"RNA polymerase II complex binding","MF",1
"GO:0001046",1,1,3,3,"core promoter sequence-specific DNA binding","MF",1
"GO:0001054",1,1,1,1,"RNA polymerase I activity","MF",1
"GO:0001056",1,1,1,1,"RNA polymerase III activity","MF",1
"GO:0001067",1,1,75,75,"transcription regulatory region nucleic acid binding","MF",1
"GO:0001091",1,1,2,2,"RNA polymerase II general transcription initiation factor binding","MF",1
"GO:0001094",1,1,2,2,"TFIID-class transcription factor complex binding","MF",1
"GO:0001098",1,1,7,7,"basal transcription machinery binding","MF",1
"GO:0001099",1,1,7,7,"basal RNA polymerase II transcription machinery binding","MF",1
"GO:0001216",1,1,26,26,"DNA-binding transcription activator activity","MF",1
"GO:0001217",1,1,19,19,"DNA-binding transcription repressor activity","MF",1
"GO:0001221",1,1,11,11,"transcription coregulator binding","MF",1
"GO:0001222",1,1,4,4,"transcription corepressor binding","MF",1
"GO:0001223",1,1,4,4,"transcription coactivator binding","MF",1
"GO:0001227",1,1,17,17,"DNA-binding transcription repressor activity, RNA polymerase II-specific","MF",1
"GO:0001228",1,1,26,26,"DNA-binding transcription activator activity, RNA polymerase II-specific","MF",1
"GO:0001530",1,1,2,2,"lipopolysaccharide binding","MF",1
"GO:0001537",1,1,1,1,"N-acetylgalactosamine 4-O-sulfotransferase activity","MF",1
"GO:0001540",1,1,7,7,"amyloid-beta binding","MF",1
"GO:0001614",1,1,1,1,"purinergic nucleotide receptor activity","MF",1
"GO:0001618",1,1,4,4,"virus receptor activity","MF",1
"GO:0001635",1,1,1,1,"calcitonin gene-related peptide receptor activity","MF",1
"GO:0001637",1,1,3,3,"G protein-coupled chemoattractant receptor activity","MF",1
"GO:0001653",1,1,3,3,"peptide receptor activity","MF",1
"GO:0001664",1,1,8,8,"G protein-coupled receptor binding","MF",1
"GO:0001671",1,1,3,3,"ATPase activator activity","MF",1
"GO:0001727",1,1,2,2,"lipid kinase activity","MF",1
"GO:0001730",1,1,1,1,"2'-5'-oligoadenylate synthetase activity","MF",1
"GO:0001734",1,1,1,1,"mRNA (N6-adenosine)-methyltransferase activity","MF",1
"GO:0001735",1,1,1,1,"prenylcysteine oxidase activity","MF",1
"GO:0001758",1,1,1,1,"retinal dehydrogenase activity","MF",1
"GO:0001784",1,1,4,4,"phosphotyrosine residue binding","MF",1
"GO:0001786",1,1,5,5,"phosphatidylserine binding","MF",1
"GO:0001846",1,1,1,1,"opsonin binding","MF",1
"GO:0001848",1,1,1,1,"complement binding","MF",1
"GO:0001851",1,1,1,1,"complement component C3b binding","MF",1
"GO:0001965",1,1,3,3,"G-protein alpha-subunit binding","MF",1
"GO:0001972",1,1,1,1,"retinoic acid binding","MF",1
"GO:0002020",1,1,7,7,"protease binding","MF",1
"GO:0002039",1,1,5,5,"p53 binding","MF",1
"GO:0002162",1,1,2,2,"dystroglycan binding","MF",1
"GO:0003674",1,1,845,845,"molecular_function","MF",1
"GO:0003676",1,1,243,243,"nucleic acid binding","MF",1
"GO:0003677",1,1,131,131,"DNA binding","MF",1
"GO:0003678",1,1,3,3,"DNA helicase activity","MF",1
"GO:0003680",1,1,2,2,"minor groove of adenine-thymine-rich DNA binding","MF",1
"GO:0003682",1,1,40,40,"chromatin binding","MF",1
"GO:0003684",1,1,5,5,"damaged DNA binding","MF",1
"GO:0003688",1,1,1,1,"DNA replication origin binding","MF",1
"GO:0003690",1,1,82,82,"double-stranded DNA binding","MF",1
"GO:0003697",1,1,3,3,"single-stranded DNA binding","MF",1
"GO:0003700",1,1,65,65,"DNA-binding transcription factor activity","MF",1
"GO:0003707",1,1,2,2,"nuclear steroid receptor activity","MF",1
"GO:0003711",1,1,2,2,"transcription elongation factor activity","MF",1
"GO:0003712",1,1,24,24,"transcription coregulator activity","MF",1
"GO:0003713",1,1,16,16,"transcription coactivator activity","MF",1
"GO:0003714",1,1,9,9,"transcription corepressor activity","MF",1
"GO:0003720",1,1,1,1,"telomerase activity","MF",1
"GO:0003721",1,1,1,1,"telomerase RNA reverse transcriptase activity","MF",1
"GO:0003723",1,1,135,135,"RNA binding","MF",1
"GO:0003724",1,1,8,8,"RNA helicase activity","MF",1
"GO:0003725",1,1,10,10,"double-stranded RNA binding","MF",1
"GO:0003727",1,1,3,3,"single-stranded RNA binding","MF",1
"GO:0003729",1,1,17,17,"mRNA binding","MF",1
"GO:0003730",1,1,2,2,"mRNA 3'-UTR binding","MF",1
"GO:0003735",1,1,6,6,"structural constituent of ribosome","MF",1
"GO:0003743",1,1,3,3,"translation initiation factor activity","MF",1
"GO:0003746",1,1,3,3,"translation elongation factor activity","MF",1
"GO:0003747",1,1,1,1,"translation release factor activity","MF",1
"GO:0003755",1,1,1,1,"peptidyl-prolyl cis-trans isomerase activity","MF",1
"GO:0003774",1,1,5,5,"cytoskeletal motor activity","MF",1
"GO:0003777",1,1,3,3,"microtubule motor activity","MF",1
"GO:0003779",1,1,35,35,"actin binding","MF",1
"GO:0003785",1,1,2,2,"actin monomer binding","MF",1
"GO:0003823",1,1,9,9,"antigen binding","MF",1
"GO:0003824",1,1,307,307,"catalytic activity","MF",1
