"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","p_adj"
"00010",1,1,9,9,1
"00020",1,1,3,3,1
"00030",1,1,5,5,1
"00051",1,1,6,6,1
"00052",1,1,5,5,1
"00071",1,1,1,1,1
"00072",1,1,2,2,1
"00100",1,1,5,5,1
"00140",1,1,1,1,1
"00190",1,1,13,13,1
"00230",1,1,10,10,1
"00240",1,1,9,9,1
"00260",1,1,3,3,1
"00270",1,1,1,1,1
"00280",1,1,2,2,1
"00310",1,1,2,2,1
"00330",1,1,1,1,1
"00340",1,1,1,1,1
"00350",1,1,6,6,1
"00360",1,1,2,2,1
"00380",1,1,2,2,1
"00410",1,1,2,2,1
"00480",1,1,4,4,1
"00500",1,1,4,4,1
"00510",1,1,2,2,1
"00511",1,1,2,2,1
"00512",1,1,2,2,1
"00514",1,1,2,2,1
"00520",1,1,4,4,1
"00524",1,1,1,1,1
"00531",1,1,1,1,1
"00532",1,1,2,2,1
"00561",1,1,2,2,1
"00562",1,1,4,4,1
"00563",1,1,2,2,1
"00564",1,1,4,4,1
"00590",1,1,1,1,1
"00592",1,1,1,1,1
"00600",1,1,3,3,1
"00601",1,1,1,1,1
"00620",1,1,3,3,1
"00630",1,1,1,1,1
"00640",1,1,2,2,1
"00650",1,1,2,2,1
"00670",1,1,1,1,1
"00740",1,1,1,1,1
"00760",1,1,2,2,1
"00785",1,1,1,1,1
"00830",1,1,1,1,1
"00860",1,1,2,2,1
"00900",1,1,4,4,1
"00920",1,1,1,1,1
"00970",1,1,2,2,1
"00980",1,1,2,2,1
"00982",1,1,2,2,1
"00983",1,1,3,3,1
"01040",1,1,3,3,1
"01100",1,1,84,84,1
"02010",1,1,4,4,1
"03008",1,1,12,12,1
"03010",1,1,5,5,1
"03013",1,1,7,7,1
"03015",1,1,5,5,1
"03018",1,1,5,5,1
"03020",1,1,2,2,1
"03022",1,1,2,2,1
"03040",1,1,10,10,1
"03060",1,1,2,2,1
"03320",1,1,2,2,1
"03410",1,1,2,2,1
"03420",1,1,2,2,1
"03440",1,1,1,1,1
"03450",1,1,2,2,1
"04010",1,1,20,20,1
"04012",1,1,8,8,1
"04020",1,1,6,6,1
"04060",1,1,9,9,1
"04062",1,1,13,13,1
"04070",1,1,6,6,1
"04080",1,1,2,2,1
"04110",1,1,5,5,1
"04114",1,1,4,4,1
"04115",1,1,5,5,1
"04120",1,1,2,2,1
"04122",1,1,2,2,1
"04130",1,1,1,1,1
"04140",1,1,1,1,1
"04141",1,1,11,11,1
"04142",1,1,10,10,1
"04144",1,1,12,12,1
"04145",1,1,8,8,1
"04146",1,1,3,3,1
"04150",1,1,4,4,1
"04210",1,1,4,4,1
"04260",1,1,4,4,1
"04270",1,1,3,3,1
"04310",1,1,10,10,1
"04330",1,1,2,2,1
"04350",1,1,6,6,1
"04360",1,1,10,10,1
"04370",1,1,6,6,1
"04380",1,1,11,11,1
"04510",1,1,8,8,1
"04512",1,1,1,1,1
"04514",1,1,8,8,1
"04520",1,1,7,7,1
"04530",1,1,6,6,1
"04540",1,1,2,2,1
"04610",1,1,1,1,1
"04612",1,1,3,3,1
"04620",1,1,8,8,1
"04621",1,1,4,4,1
"04622",1,1,8,8,1
"04623",1,1,4,4,1
"04630",1,1,7,7,1
"04640",1,1,13,13,1
"04650",1,1,9,9,1
"04660",1,1,14,14,1
"04662",1,1,9,9,1
"04664",1,1,8,8,1
"04666",1,1,5,5,1
"04670",1,1,10,10,1
"04672",1,1,2,2,1
"04710",1,1,3,3,1
"04720",1,1,5,5,1
"04722",1,1,11,11,1
"04730",1,1,4,4,1
"04742",1,1,2,2,1
"04744",1,1,1,1,1
"04810",1,1,12,12,1
"04910",1,1,6,6,1
"04912",1,1,8,8,1
"04914",1,1,6,6,1
"04916",1,1,8,8,1
"04920",1,1,3,3,1
"04930",1,1,4,4,1
"04940",1,1,1,1,1
"04950",1,1,1,1,1
"04960",1,1,4,4,1
"04962",1,1,4,4,1
"04966",1,1,1,1,1
"04970",1,1,3,3,1
"04971",1,1,2,2,1
"04972",1,1,4,4,1
"04973",1,1,4,4,1
"04975",1,1,1,1,1
"04976",1,1,1,1,1
"05010",1,1,10,10,1
"05012",1,1,13,13,1
"05014",1,1,5,5,1
"05016",1,1,14,14,1
"05020",1,1,1,1,1
"05100",1,1,3,3,1
"05110",1,1,3,3,1
"05120",1,1,7,7,1
"05131",1,1,5,5,1
"05140",1,1,8,8,1
"05142",1,1,10,10,1
"05143",1,1,1,1,1
"05144",1,1,5,5,1
"05145",1,1,13,13,1
"05146",1,1,9,9,1
"05150",1,1,3,3,1
"05160",1,1,12,12,1
"05200",1,1,20,20,1
"05210",1,1,9,9,1
"05211",1,1,8,8,1
"05212",1,1,3,3,1
"05213",1,1,6,6,1
"05214",1,1,4,4,1
"05215",1,1,10,10,1
"05216",1,1,4,4,1
"05217",1,1,2,2,1
"05218",1,1,4,4,1
"05219",1,1,4,4,1
"05220",1,1,6,6,1
"05221",1,1,9,9,1
"05222",1,1,6,6,1
"05223",1,1,5,5,1
"05310",1,1,2,2,1
"05320",1,1,4,4,1
"05322",1,1,11,11,1
"05323",1,1,6,6,1
"05330",1,1,2,2,1
"05332",1,1,1,1,1
"05340",1,1,5,5,1
"05412",1,1,3,3,1
"05416",1,1,4,4,1
