"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042254","ribosome biogenesis","37/396","325/18870",4.92259664787275e-17,1.63725564508248e-13,1.47470632208904e-13,"AFG2B/RRP12/TFB2M/PNO1/SBDS/RPF2/NOP16/UTP20/UTP4/DDX21/UTP14A/PAK1IP1/SRFBP1/NOP58/LSG1/NMD3/DHX29/AIRIM/NOP2/DDX10/RPP30/DDX27/NUP88/EIF5/GRWD1/ESF1/METTL16/GAR1/LTV1/WDR46/WDR43/RIOK1/RPS19BP1/UTP25/UTP15/ABCE1/DDX52",37
"BP","GO:0034470","ncRNA processing","39/396","439/18870",2.86100484454728e-14,4.75785105648212e-11,4.28548409872713e-11,"TYW1B/RRP12/TFB2M/SBDS/ALKBH1/SRSF3/ALKBH8/RPF2/UTP20/INTS6/TRMT13/SRRT/UTP4/DDX21/ZMPSTE24/TRIT1/UTP14A/SRFBP1/NOP58/TRMO/DUS3L/CTU2/NOP2/DDX10/RPP30/DDX27/ESF1/METTL16/DPH3/GAR1/WDR46/YRDC/WDR43/RIOK1/UTP25/UTP15/ZCCHC8/DDX52/TRMT6",39
"BP","GO:0006364","rRNA processing","23/396","225/18870",4.23922424216421e-10,4.69988660981272e-07,4.23327445375416e-07,"RRP12/TFB2M/SBDS/RPF2/UTP20/UTP4/DDX21/UTP14A/SRFBP1/NOP58/NOP2/DDX10/RPP30/DDX27/ESF1/METTL16/GAR1/WDR46/WDR43/RIOK1/UTP25/UTP15/DDX52",23
"BP","GO:0016072","rRNA metabolic process","24/396","264/18870",1.92063228159314e-09,1.59700574214469e-06,1.4384524930037e-06,"RRP12/TFB2M/SBDS/RPF2/UTP20/UTP4/DDX21/UTP14A/SRFBP1/NOP58/NOP2/DDX10/RPP30/DDX27/ESF1/METTL16/GAR1/WDR46/WDR43/RIOK1/UTP25/UTP15/DEDD/DDX52",24
"BP","GO:0008380","RNA splicing","30/396","478/18870",1.04419994216839e-07,6.94601801530414e-05,6.25640639033945e-05,"BUD31/CLK1/TXNL4B/SRSF3/TRA2A/TRA2B/DDX39A/SFPQ/CLK4/ECD/PRPF3/RRAGC/CCNL1/PTBP2/LSM1/PRKRIP1/METTL16/SRSF6/CWC22/PAXBP1/PRPF39/PRPF38B/PPP2CA/RBM15/YTHDC1/CWC25/PPIL1/SUGP1/ZCCHC8/SRSF1",30
"BP","GO:0042274","ribosomal small subunit biogenesis","13/396","104/18870",2.73741796803828e-07,0.000151744202694922,0.000136678798895385,"PNO1/UTP20/UTP4/SRFBP1/NOP58/LTV1/WDR46/WDR43/RIOK1/RPS19BP1/UTP25/UTP15/DDX52",13
"BP","GO:0009451","RNA modification","16/396","180/18870",1.33210379705656e-06,0.000632939604144304,0.000570100361868117,"TYW1B/TFB2M/ALKBH1/ALKBH8/TRMT13/TRIT1/TRMO/DUS3L/CTU2/NOP2/METTL16/DPH3/GAR1/YRDC/RBM15/TRMT6",16
"BP","GO:0006400","tRNA modification","11/396","94/18870",4.38944711150761e-06,0.00182491263660929,0.00164373243149351,"TYW1B/ALKBH1/ALKBH8/TRMT13/TRIT1/TRMO/DUS3L/CTU2/DPH3/YRDC/TRMT6",11
"BP","GO:0000819","sister chromatid segregation","17/396","225/18870",5.7991397197256e-06,0.00205522209873443,0.0018511764069368,"STAG1/NUSAP1/PIBF1/ZWINT/INO80/MAD2L1BP/PLK1/LATS1/PINX1/KIF18A/DUSP1/DLGAP5/TOP2A/KIF11/CHMP2B/DRG1/BIRC5",17
"BP","GO:0000054","ribosomal subunit export from nucleus","5/396","14/18870",6.79718673664424e-06,0.00205522209873443,0.0018511764069368,"LSG1/NMD3/NUP88/LTV1/ABCE1",5
