"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0042254","ribosome biogenesis","37/396","325/18870",4.92259664787275e-17,1.63725564508248e-13,1.47470632208904e-13,"AFG2B/RRP12/TFB2M/PNO1/SBDS/RPF2/NOP16/UTP20/UTP4/DDX21/UTP14A/PAK1IP1/SRFBP1/NOP58/LSG1/NMD3/DHX29/AIRIM/NOP2/DDX10/RPP30/DDX27/NUP88/EIF5/GRWD1/ESF1/METTL16/GAR1/LTV1/WDR46/WDR43/RIOK1/RPS19BP1/UTP25/UTP15/ABCE1/DDX52",37
"BP","GO:0034470","ncRNA processing","39/396","439/18870",2.86100484454728e-14,4.75785105648212e-11,4.28548409872713e-11,"TYW1B/RRP12/TFB2M/SBDS/ALKBH1/SRSF3/ALKBH8/RPF2/UTP20/INTS6/TRMT13/SRRT/UTP4/DDX21/ZMPSTE24/TRIT1/UTP14A/SRFBP1/NOP58/TRMO/DUS3L/CTU2/NOP2/DDX10/RPP30/DDX27/ESF1/METTL16/DPH3/GAR1/WDR46/YRDC/WDR43/RIOK1/UTP25/UTP15/ZCCHC8/DDX52/TRMT6",39
"BP","GO:0016072","rRNA metabolic process","24/396","264/18870",1.92063228159314e-09,1.59700574214469e-06,1.4384524930037e-06,"RRP12/TFB2M/SBDS/RPF2/UTP20/UTP4/DDX21/UTP14A/SRFBP1/NOP58/NOP2/DDX10/RPP30/DDX27/ESF1/METTL16/GAR1/WDR46/WDR43/RIOK1/UTP25/UTP15/DEDD/DDX52",24
"BP","GO:0000819","sister chromatid segregation","17/396","225/18870",5.7991397197256e-06,0.00205522209873443,0.0018511764069368,"STAG1/NUSAP1/PIBF1/ZWINT/INO80/MAD2L1BP/PLK1/LATS1/PINX1/KIF18A/DUSP1/DLGAP5/TOP2A/KIF11/CHMP2B/DRG1/BIRC5",17
"BP","GO:0000054","ribosomal subunit export from nucleus","5/396","14/18870",6.79718673664424e-06,0.00205522209873443,0.0018511764069368,"LSG1/NMD3/NUP88/LTV1/ABCE1",5
"BP","GO:0033750","ribosome localization","5/396","14/18870",6.79718673664424e-06,0.00205522209873443,0.0018511764069368,"LSG1/NMD3/NUP88/LTV1/ABCE1",5
"BP","GO:0051098","regulation of binding","18/396","262/18870",1.15476286494714e-05,0.00274338663486729,0.00247101888243577,"JUN/TCF7L2/PLK1/PINX1/NMD3/DDIT3/PER2/DNAJB2/DPH3/ERCC4/PAX6/RARA/PPP2CA/NFKBIA/AURKA/EP300/IFIT1/H1-0",18
"BP","GO:0006360","transcription by RNA polymerase I","9/396","72/18870",1.90917928013354e-05,0.00376130507748983,0.00338787677644588,"GTF2H1/CREBBP/POLR1C/TAF1A/DDX21/ZMPSTE24/WDR43/UTP15/DEDD",9
"BP","GO:0044772","mitotic cell cycle phase transition","25/396","470/18870",2.20385200349621e-05,0.00376130507748983,0.00338787677644588,"RRM2/PPM1D/ZWINT/DTL/INO80/MAD2L1BP/PLK1/TRIAP1/ECD/LATS1/PINX1/ID2/WAC/HUS1/DUSP1/ANKRD17/DLGAP5/TAF2/UBE2S/EZH2/PPP2CA/AURKA/BIRC5/CDKN3/HINFP",25
"BP","GO:0006913","nucleocytoplasmic transport","20/396","330/18870",2.39388495587964e-05,0.00376130507748983,0.00338787677644588,"IFI27/DNAJC27/SRSF3/NXF1/DDX39A/KPNA5/LSG1/NMD3/AKIRIN2/ZC3H12A/KPNA2/NUP88/RGS14/CHTOP/LTV1/DUSP16/NFKBIA/YTHDC1/EP300/ABCE1",20
