"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0034470","ncRNA processing","23/229","439/18870",4.34613217590226e-09,1.11043677094303e-05,1.03437945786474e-05,"UTP20/UTP4/DDX21/INTS6/ZMPSTE24/SBDS/TRIT1/TRMT13/RRP12/ALKBH1/UTP14A/SRSF3/ALKBH8/NOP58/DUS3L/TFB2M/RPF2/SRRT/SRFBP1/TRMO/CTU2/TYW1B/NOP2",23
"BP","GO:0042254","ribosome biogenesis","19/229","325/18870",1.80759829237302e-08,2.30920681850654e-05,2.1510419679239e-05,"AFG2B/UTP20/UTP4/DDX21/SBDS/LSG1/RRP12/NMD3/UTP14A/DHX29/AIRIM/NOP58/TFB2M/RPF2/PNO1/PAK1IP1/SRFBP1/NOP16/NOP2",19
"BP","GO:0000070","mitotic sister chromatid segregation","11/229","184/18870",1.59020273702105e-05,0.0105227556442077,0.0098020189562483,"STAG1/PIBF1/INO80/MAD2L1BP/PLK1/KIF18A/DUSP1/PINX1/ZWINT/NUSAP1/DLGAP5",11
"BP","GO:0000819","sister chromatid segregation","12/229","225/18870",2.0592476798841e-05,0.0105227556442077,0.0098020189562483,"STAG1/PIBF1/INO80/MAD2L1BP/PLK1/KIF18A/LATS1/DUSP1/PINX1/ZWINT/NUSAP1/DLGAP5",12
"BP","GO:1901990","regulation of mitotic cell cycle phase transition","15/229","355/18870",3.06793972793666e-05,0.0130643100081303,0.0121694942541487,"INO80/MAD2L1BP/PLK1/WAC/TRIAP1/ECD/HUS1/DUSP1/ANKRD17/PINX1/ID2/RRM2/ZWINT/DTL/DLGAP5",15
"BP","GO:0072331","signal transduction by p53 class mediator","10/229","175/18870",5.68341247207889e-05,0.0204402118559496,0.0190401973452681,"AEN/PPM1D/USP15/ZMPSTE24/TRIAP1/RPF2/PAK1IP1/CDIP1/NOP2/SGK1",10
"BP","GO:0044772","mitotic cell cycle phase transition","17/229","470/18870",6.45659275981742e-05,0.0204402118559496,0.0190401973452681,"PPM1D/INO80/MAD2L1BP/PLK1/WAC/TRIAP1/ECD/LATS1/HUS1/DUSP1/ANKRD17/PINX1/ID2/RRM2/ZWINT/DTL/DLGAP5",17
"BP","GO:0006360","transcription by RNA polymerase I","6/229","72/18870",0.000239665921924428,0.0417222397064106,0.0388645520552866,"GTF2H1/DDX21/ZMPSTE24/CREBBP/POLR1C/TAF1A",6
"BP","GO:0009314","response to radiation","15/229","428/18870",0.00024494465581063,0.0417222397064106,0.0388645520552866,"AEN/PPM1D/INO80/ZMPSTE24/CREBBP/CCDC66/TRIAP1/BRAF/HUS1/SLC7A11/FOS/H2AC25/ID2/PCLAF/DTL",15
"BP","GO:0007093","mitotic cell cycle checkpoint signaling","8/229","142/18870",0.00034648743679077,0.0488475511826245,0.045501828498883,"MAD2L1BP/PLK1/WAC/TRIAP1/HUS1/DUSP1/ZWINT/DTL",8
"BP","GO:1900180","regulation of protein localization to nucleus","8/229","143/18870",0.000363249891377638,0.0488475511826245,0.045501828498883,"FLCN/PLK1/CREBBP/NMD3/LATS1/TCF7L2/ZC3H12A/PINX1",8
"BP","GO:0016072","rRNA metabolic process","11/229","264/18870",0.000397989071743915,0.0493841674490866,0.0460016902265464,"UTP20/UTP4/DDX21/SBDS/RRP12/UTP14A/NOP58/TFB2M/RPF2/SRFBP1/NOP2",11
"BP","GO:1904263","positive regulation of TORC1 signaling","5/229","52/18870",0.00041157733683706,0.0493841674490866,0.0460016902265464,"FLCN/SIK3/WAC/LAMTOR3/RRAGC",5
"BP","GO:0034504","protein localization to nucleus","12/229","310/18870",0.00042522570797648,0.0493841674490866,0.0460016902265464,"FLCN/PLK1/CREBBP/NMD3/BANP/KPNA5/AKIRIN2/LATS1/RPF2/TCF7L2/ZC3H12A/PINX1",12
"CC","GO:0000786","nucleosome","9/232","134/19886",2.82674819752283e-05,0.00637671107781162,0.0057593426888617,"EPC1/ING3/H2AC6/H1-2/H2AC25/H2BC21/H2BC11/H2BC5/H4C5",9
"CC","GO:0005819","spindle","16/232","431/19886",4.97942176918293e-05,0.00637671107781162,0.0057593426888617,"RASSF1/AFG2B/STAG1/INO80/FLCN/MAD2L1BP/SBDS/PLK1/HAUS2/KIF18A/DYNLL1/LATS1/TRAT1/PINX1/NUSAP1/DLGAP5",16
"CC","GO:0001650","fibrillar center","9/232","150/19886",6.84340518226686e-05,0.00637671107781162,0.0057593426888617,"THAP1/UTP4/PSPC1/YY1AP1/TIMM44/POLR1C/IP6K1/NOP58/NUFIP1",9
"CC","GO:0031965","nuclear membrane","13/232","311/19886",7.87248281211311e-05,0.00637671107781162,0.0057593426888617,"AEN/EPC1/DNAJC2/ZMPSTE24/MAD2L1BP/RRP12/ALG14/ANKRD17/TRA2B/STX1A/MX1/DTL/IFI27",13
"CC","GO:1990877","FNIP-folliculin RagC/D GAP","3/232","10/19886",0.00017705213722726,0.0114729784923264,0.0103622092945638,"FLCN/LAMTOR3/RRAGC",3
"MF","GO:0140098","catalytic activity, acting on RNA","15/233","395/18496",0.000154077994211767,0.022534348475484,0.0205100916080781,"DDX21/DDX39A/TRIT1/TRMT13/ALKBH1/POLR1C/DHX29/ALKBH8/DUS3L/TFB2M/ZC3H12A/TRMO/TYW1B/RNASEK/NOP2",15
"MF","GO:0008330","protein tyrosine/threonine phosphatase activity","3/233","10/18496",0.000221837110205522,0.022534348475484,0.0205100916080781,"DUSP8/DUSP10/DUSP1",3
"MF","GO:0033550","MAP kinase tyrosine phosphatase activity","3/233","10/18496",0.000221837110205522,0.022534348475484,0.0205100916080781,"DUSP8/DUSP10/DUSP1",3
"MF","GO:0030527","structural constituent of chromatin","7/233","97/18496",0.000225908255393324,0.022534348475484,0.0205100916080781,"H2AC6/H1-2/H2AC25/H2BC21/H2BC11/H2BC5/H4C5",7
"MF","GO:0017017","MAP kinase tyrosine/serine/threonine phosphatase activity","3/233","13/18496",0.000514122622869456,0.0410269853049826,0.037341537871571,"DUSP8/DUSP10/DUSP1",3
"MF","GO:0030515","snoRNA binding","4/233","32/18496",0.00066893825611816,0.0444843940318577,0.0404883681334676,"DDX21/NUDT16L1/NOP58/NUFIP1",4
