"Gene","Species","log_2.fold.change","Adjusted.p.value","diffexpressed","Regulacion"
"ENSG00000177606","homo sapiens",5.8,0,"UP","UP"
"ENSG00000131931","homo sapiens",3.4,7.0179708210293e-227,"UP","UP"
"ENSG00000100908","homo sapiens",3.1,4.06441110685691e-222,"UP","UP"
"ENSG00000166478","homo sapiens",3.2,4.49577929624107e-204,"UP","UP"
"ENSG00000136891","homo sapiens",3.2,1.18287811244696e-197,"UP","UP"
"ENSG00000198026","homo sapiens",2.8,1.63490554045046e-197,"UP","UP"
"ENSG00000181026","homo sapiens",2.8,1.44875429621029e-194,"UP","UP"
"ENSG00000106245","homo sapiens",2.7,7.8197762485916e-193,"UP","UP"
"ENSG00000068028","homo sapiens",2.9,4.4687151214904e-190,"UP","UP"
"ENSG00000162772","homo sapiens",2.7,5.98385667321939e-181,"UP","UP"
"ENSG00000175567","homo sapiens",-5.5,0,"DOWN","DOWN"
"ENSG00000109107","homo sapiens",-4,0,"DOWN","DOWN"
"ENSG00000120915","homo sapiens",-3.5,0,"DOWN","DOWN"
"ENSG00000151892","homo sapiens",-3.2,0,"DOWN","DOWN"
"ENSG00000160298","homo sapiens",-3.1,0,"DOWN","DOWN"
"ENSG00000124615","homo sapiens",-3,0,"DOWN","DOWN"
"ENSG00000198771","homo sapiens",-3,0,"DOWN","DOWN"
"ENSG00000008517","homo sapiens",-2.8,9.70587185042964e-288,"DOWN","DOWN"
"ENSG00000117016","homo sapiens",-3,7.85894637742288e-270,"DOWN","DOWN"
"ENSG00000168961","homo sapiens",-3.3,4.65822203926603e-269,"DOWN","DOWN"
