Gen,Frecuencia
NP,27
tnpA,26
dmsB,25
oadA,24
hypA,24
cspE,18
sthA,18
ccmA,16
ccmB,16
ccmD,16
ccmE,16
dsbE,16
ilvN,16
rbsK,16
fucP,16
mgtA,16
araD,16
ulaD,16
asd,16
glgX,16
trpS,16
tuf,16
pflB,16
tkt,16
rarD,16
fucO,16
flhA,16
hypC,16
sseB,16
sseA,16
tal,16
pta,16
serB,16
ompC,16
mrdA,16
ftsI,16
narH,16
narI,16
fdnG,16
fdxH,16
osmY,16
bioD,16
cydB,16
citC,16
citD,16
citE,16
citF,16
citX,16
citG,16
leuD,16
leuC,16
arcA,16
argF,16
radC,15
ilvD,13
folP,13
pfkB,13
ptsP,13
adhE,12
dmsD,11
pnuC,11
dagF,10
stdB,10
arsC,10
cpsG,10
ptsG,10
artJ,10
lysC,10
intI1,10
VP35,10
VP40,10
GP,10
sGP,10
ssGP,10
VP30,10
VP24,10
L,10
gpG,9
mdtD,9
rfbA,9
rdgC,9
glpX,9
dnaA,8
dnaN,8
recF,8
gyrB,8
yidA,8
torS,8
torT,8
torR,8
torC,8
torA,8
torD,8
ibpA,8
ibpB,8
dsdA,8
dsdX,8
dsdC,8
emrD,8
tisB,8
ivbL,8
ilvB,8
uhpA,8
uhpB,8
uhpT,8
nepI,8
dagR,8
dgaE,8
mgtR,8
cigR,8
misL,8
yicI,8
xanP,8
gltS,8
recG,8
trmH,8
spoT,8
rpoZ,8
gmk,8
ligB,8
rph,8
pyrE,8
slmA,8
dut,8
coaBC,8
rpmB,8
rpmG,8
mutM,8
coaD,8
waaA,8
rfaQ,8
rfaP,8
waaB,8
waaO,8
rfaJ,8
rfaY,8
waaZ,8
rfaL,8
rfaC,8
rfaF,8
rfaD,8
kbl,8
tdh,8
envC,8
gpmM,8
grxC,8
secB,8
gpsA,8
cysE,8
trmL,8
lldD,8
lldR,8
lldP,8
mtlR,8
mtlD,8
mtlA,8
selA,8
selB,8
aldB,8
yiaN,8
yiaM,8
yiaK,8
yiaJ,8
avtA,8
xylA,8
xylB,8
glyQ,8
glyS,8
cueP,8
ghrB,8
tag,8
lpfA,8
lpfB,8
lpfC,8
lpfD,8
lpfE,8
eptB,8
dppB,8
dppC,8
dppD,8
dppF,8
bcsG,8
bcsF,8
bcsE,8
bcsQ,8
bcsA,8
bcsB,8
bcsZ,8
bcsC,8
hmsP,8
dctA,8
pdeH,8
yhjD,8
fraB,8
fraD,8
