Producto,Frecuencia
hypothetical protein,1642
MFS transporter,381
LysR family transcriptional regulator,209
helix-turn-helix domain-containing protein,142
fimbrial protein,111
cytoplasmic protein,89
ABC transporter permease,79
transcriptional regulator,71
helix-turn-helix transcriptional regulator,69
GNAT family N-acetyltransferase,67
phage tail protein,65
GntR family transcriptional regulator,60
tyrosine-type recombinase/integrase,60
SDR family oxidoreductase,59
transposase,58
ABC transporter ATP-binding protein,58
methyl-accepting chemotaxis protein,54
EAL domain-containing protein,50
aryl-sulfate sulfotransferase,48
DMT family transporter,47
DeoR/GlpR family DNA-binding transcription regulator,46
AraC family transcriptional regulator,46
IS3 family transposase,46
amino acid permease,42
PTS sugar transporter subunit IIA,41
YgdI/YgdR family lipoprotein,40
lipoprotein,38
LacI family DNA-binding transcriptional regulator,37
ATP-binding protein,37
fimbrial biogenesis outer membrane usher protein,37
type II toxin-antitoxin system RelE/ParE family toxin,36
ATP-binding cassette domain-containing protein,35
aldo/keto reductase,35
oxidoreductase,34
LysR substrate-binding domain-containing protein,34
tail fiber assembly protein,34
dimethyl sulfoxide reductase anchor subunit family protein,34
VOC family protein,33
Cof-type HAD-IIB family hydrolase,33
Rpn family recombination-promoting nuclease/putative transposase,32
phage holin family protein,32
TetR/AcrR family transcriptional regulator,32
metal-dependent hydrolase,32
SIS domain-containing protein,32
ABC transporter substrate-binding protein,30
alpha/beta hydrolase,30
class I SAM-dependent methyltransferase,30
DedA family protein,30
PTS sugar transporter subunit IIB,30
FAD-dependent oxidoreductase,29
APC family permease,29
anaerobic sulfatase maturase,29
DUF1493 family protein,29
molecular chaperone,29
Hcp family type VI secretion system effector,28
transketolase,28
MerR family transcriptional regulator,28
YhcH/YjgK/YiaL family protein,26
AI-2E family transporter,25
mechanosensitive ion channel family protein,25
PTS system mannose/fructose/sorbose family transporter subunit IID,24
glycosyltransferase,24
L-ribulose-5-phosphate 4-epimerase,24
PfkB family carbohydrate kinase,24
pirin family protein,24
hydrolase,24
FKBP-type peptidyl-prolyl cis-trans isomerase,24
SLC13 family permease,24
oxaloacetate decarboxylase subunit gamma,24
sodium-extruding oxaloacetate decarboxylase subunit alpha,24
oxalacetate decarboxylase subunit beta,24
L-serine ammonia-lyase,24
TerC family protein,24
M48 family metallopeptidase,24
hydrogenase maturation nickel metallochaperone HypA,24
nucleoside permease,24
MBL fold metallo-hydrolase,24
MurR/RpiR family transcriptional regulator,24
porin OmpC,24
fumarylacetoacetate hydrolase family protein,24
DUF1266 domain-containing protein,24
"L,D-transpeptidase",24
cytochrome d ubiquinol oxidase subunit II,24
general stress protein,24
fimbrial outer membrane usher protein,24
IS200/IS605-like element IS200F family transposase,24
sugar kinase,23
IclR family transcriptional regulator,23
Arm DNA-binding domain-containing protein,23
tetratricopeptide repeat protein,23
AAA family ATPase,23
sensor histidine kinase,22
C40 family peptidase,22
glycosyltransferase family 2 protein,22
lysozyme inhibitor LprI family protein,22
formate C-acetyltransferase,21
glutathione S-transferase family protein,21
polysaccharide deacetylase family protein,21
glycosyltransferase family 4 protein,20
phage tail tape measure protein,20
outer membrane protein,20
mandelate racemase/muconate lactonizing enzyme family protein,19
ribokinase,19
acyltransferase,19
DUF1778 domain-containing protein,19
N-acetyltransferase,19
peptidase,19
Bax inhibitor-1 family protein,19
PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,18
transcription antiterminator/RNA stability regulator CspE,18
fumarate hydratase,18
glycoside hydrolase family 19 protein,18
XRE family transcriptional regulator,18
GtrA family protein,18
SgrR family transcriptional regulator,18
HPr family phosphocarrier protein,17
Gfo/Idh/MocA family protein,17
molybdopterin-dependent oxidoreductase,17
nucleocapsid protein,17
cytochrome c biogenesis heme-transporting ATPase CcmA,16
heme exporter protein CcmB,16
heme ABC transporter permease,16
heme exporter protein CcmD,16
cytochrome c maturation protein CcmE,16
heme lyase CcmF/NrfE family subunit,16
thiol:disulfide interchange protein DsbE,16
cytochrome c-type biogenesis protein CcmH,16
