"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0002700",0.00753441476091974,0.99889136656148,13,15,"regulation of production of molecular mediator of immune response","BP",1
"GO:0030509",0.0114220808703495,1,7,7,"BMP signaling pathway","BP",1
"GO:0071772",0.0114220808703495,1,7,7,"response to BMP","BP",1
"GO:0071773",0.0114220808703495,1,7,7,"cellular response to BMP stimulus","BP",1
"GO:0019218",0.0120948340707173,1,7,7,"regulation of steroid metabolic process","BP",1
"GO:0042632",0.0124247243395945,1,7,7,"cholesterol homeostasis","BP",1
"GO:0055092",0.0124247243395945,1,7,7,"sterol homeostasis","BP",1
"GO:0044409",0.0127918680145183,1,7,7,"entry into host","BP",1
"GO:0046718",0.0127918680145183,1,7,7,"viral entry into host cell","BP",1
"GO:0007179",0.0189743611049527,0.996829455850538,11,13,"transforming growth factor beta receptor signaling pathway","BP",1
"GO:0097581",0.0214950829790668,1,6,6,"lamellipodium organization","BP",1
"GO:0030168",0.0215329558296708,1,6,6,"platelet activation","BP",1
"GO:0030510",0.0217498237788343,1,6,6,"regulation of BMP signaling pathway","BP",1
"GO:0007155",0.0225795515039873,0.987700966144132,50,77,"cell adhesion","BP",1
"GO:0006066",0.0227244513035684,0.992205692989971,20,27,"alcohol metabolic process","BP",1
"GO:0046890",0.0229119645831061,1,6,6,"regulation of lipid biosynthetic process","BP",1
"GO:1901135",0.0253338897147047,0.986461517848733,46,70,"carbohydrate derivative metabolic process","BP",1
"GO:0007178",0.0277250742264957,0.992591799673452,14,18,"transmembrane receptor protein serine/threonine kinase signaling pathway","BP",1
"GO:1901615",0.0356832438761039,0.984540196168621,25,36,"organic hydroxy compound metabolic process","BP",1
"GO:0051090",0.0368291737614847,0.98511220566819,22,31,"regulation of DNA-binding transcription factor activity","BP",1
"GO:0030032",0.0407880192535642,1,5,5,"lamellipodium assembly","BP",1
"GO:0090287",0.0413269001634655,0.988282961945827,13,17,"regulation of cellular response to growth factor stimulus","BP",1
"GO:0035107",0.0416000412564316,1,5,5,"appendage morphogenesis","BP",1
"GO:0035108",0.0416000412564316,1,5,5,"limb morphogenesis","BP",1
"GO:0050435",0.0416671629225339,1,5,5,"amyloid-beta metabolic process","BP",1
"GO:0046686",0.0424046220725102,1,5,5,"response to cadmium ion","BP",1
"GO:0061082",0.0424825692624657,1,5,5,"myeloid leukocyte cytokine production","BP",1
"GO:0034204",0.0430502213488452,1,5,5,"lipid translocation","BP",1
"GO:0097035",0.0430502213488452,1,5,5,"regulation of membrane lipid distribution","BP",1
"GO:0015914",0.0433757458757097,1,5,5,"phospholipid transport","BP",1
"GO:0060021",0.0438158127598812,1,5,5,"roof of mouth development","BP",1
"GO:0002637",0.0438249689079191,1,5,5,"regulation of immunoglobulin production","BP",1
"GO:0070918",0.0439575159733549,1,5,5,"regulatory ncRNA processing","BP",1
"GO:0008299",0.0440726943596353,1,5,5,"isoprenoid biosynthetic process","BP",1
