"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0098552",0.00660297688945075,0.99749487806567,32,44,"side of membrane","CC",1
"GO:0055037",0.0113634671136019,1,7,7,"recycling endosome","CC",1
"GO:0009897",0.0170384877243098,0.994743135344232,19,25,"external side of plasma membrane","CC",1
"GO:0031982",0.0222235592596404,0.985162011325881,117,194,"vesicle","CC",1
"GO:0035577",0.023648360151858,1,6,6,"azurophil granule membrane","CC",1
"GO:0009986",0.031327225279291,0.984274327020976,36,54,"cell surface","CC",1
"GO:0071944",0.0348494415822261,0.975283140838657,146,249,"cell periphery","CC",1
"GO:0048786",0.0428338493594188,1,5,5,"presynaptic active zone","CC",1
"GO:0005576",0.0463309949962513,0.968090521991263,103,172,"extracellular region","CC",1
"GO:0005886",0.0534479411655312,0.961261114964221,138,237,"plasma membrane","CC",1
"GO:0005768",0.0556123006511291,0.969156821493205,38,59,"endosome","CC",1
"GO:1902554",0.0798350944858761,1,4,4,"serine/threonine protein kinase complex","CC",1
"GO:1902911",0.0798350944858761,1,4,4,"protein kinase complex","CC",1
"GO:0005788",0.0806193535022416,0.982480283848953,8,10,"endoplasmic reticulum lumen","CC",1
"GO:1904724",0.082077150656104,1,4,4,"tertiary granule lumen","CC",1
"GO:0031410",0.0822556874696671,0.943114239231903,78,131,"cytoplasmic vesicle","CC",1
"GO:0097708",0.0822556874696671,0.943114239231903,78,131,"intracellular vesicle","CC",1
"GO:0031514",0.0885383760245094,1,4,4,"motile cilium","CC",1
"GO:0097729",0.0885383760245094,1,4,4,"9+2 motile cilium","CC",1
"GO:0000139",0.127805007220161,0.932539468894799,22,34,"Golgi membrane","CC",1
"GO:0098800",0.128526873945272,0.95435294310753,11,15,"inner mitochondrial membrane protein complex","CC",1
"GO:0016363",0.128959407574422,0.968683662625149,7,9,"nuclear matrix","CC",1
"GO:0034399",0.128959407574422,0.968683662625149,7,9,"nuclear periphery","CC",1
"GO:0030312",0.130453757883604,0.949230777975116,12,17,"external encapsulating structure","CC",1
"GO:0031012",0.130453757883604,0.949230777975116,12,17,"extracellular matrix","CC",1
"GO:0098798",0.131566125211474,0.944388842161032,14,20,"mitochondrial protein-containing complex","CC",1
"GO:0001669",0.131578975930986,0.967825281938301,7,9,"acrosomal vesicle","CC",1
"GO:1990204",0.133198759386153,0.958723098494349,9,12,"oxidoreductase complex","CC",1
"GO:0009898",0.139977783886988,0.978005953807279,5,6,"cytoplasmic side of plasma membrane","CC",1
"GO:0000785",0.141171348164751,0.907548644391834,43,71,"chromatin","CC",1
"GO:0055038",0.148017570384693,1,3,3,"recycling endosome membrane","CC",1
"GO:0019866",0.150640790080108,0.914487900441052,25,39,"organelle inner membrane","CC",1
"GO:0030686",0.151011311404893,1,3,3,"90S preribosome","CC",1
"GO:0016528",0.152435726243885,1,3,3,"sarcoplasm","CC",1
"GO:0150005",0.152958926473978,1,3,3,"enzyme activator complex","CC",1
"GO:1902773",0.152958926473978,1,3,3,"GTPase activator complex","CC",1
"GO:1990877",0.152958926473978,1,3,3,"FNIP-folliculin RagC/D GAP","CC",1
"GO:0000791",0.156903410230949,0.974094618557176,5,6,"euchromatin","CC",1
"GO:0000940",0.158339856806817,1,3,3,"outer kinetochore","CC",1
"GO:0005743",0.158529107293205,0.912954369148789,22,34,"mitochondrial inner membrane","CC",1
"GO:0042101",0.164698070368611,0.972215921215623,5,6,"T cell receptor complex","CC",1
"GO:0036126",0.167788396349271,1,3,3,"sperm flagellum","CC",1
"GO:0010008",0.172224994382704,0.909546370897059,18,28,"endosome membrane","CC",1
"GO:0005751",0.173195108096651,1,3,3,"mitochondrial respiratory chain complex IV","CC",1
"GO:1990351",0.182343375151356,0.923712465587277,11,16,"transporter complex","CC",1
"GO:1904813",0.191134101124746,0.926977416097885,9,13,"ficolin-1-rich granule lumen","CC",1
"GO:0005902",0.225203649254765,0.958978305742696,4,5,"microvillus","CC",1
"GO:0098562",0.231819088666668,0.918332833498543,7,10,"cytoplasmic side of membrane","CC",1
"GO:0042734",0.23317061634069,0.956729215715117,4,5,"presynaptic membrane","CC",1
"GO:1902495",0.246508929328007,0.88906190593241,10,15,"transmembrane transporter complex","CC",1
"GO:0005615",0.251787313020445,0.803700998004985,79,139,"extracellular space","CC",1
"GO:0032993",0.262972932561244,0.809495825104597,44,76,"protein-DNA complex","CC",1
"GO:0043230",0.269249009981213,0.79515847840783,60,105,"extracellular organelle","CC",1
"GO:0065010",0.269249009981213,0.79515847840783,60,105,"extracellular membrane-bounded organelle","CC",1
"GO:1903561",0.269249009981213,0.79515847840783,60,105,"extracellular vesicle","CC",1
"GO:0005747",0.269679234520072,0.945760009193064,4,5,"mitochondrial respiratory chain complex I","CC",1
"GO:0030964",0.269679234520072,0.945760009193064,4,5,"NADH dehydrogenase complex","CC",1
"GO:0045271",0.269679234520072,0.945760009193064,4,5,"respiratory chain complex I","CC",1
"GO:0005856",0.270105873161993,0.788656635229054,75,133,"cytoskeleton","CC",1
"GO:0005770",0.277917105661871,0.855615075433849,12,19,"late endosome","CC",1
"GO:0016529",0.278929862138603,1,2,2,"sarcoplasmic reticulum","CC",1
"GO:0005849",0.279006667953789,1,2,2,"mRNA cleavage factor complex","CC",1
"GO:0033162",0.279082321734167,1,2,2,"melanosome membrane","CC",1
"GO:0045009",0.279082321734167,1,2,2,"chitosome","CC",1
"GO:0090741",0.279082321734167,1,2,2,"pigment granule membrane","CC",1
"GO:0000307",0.279206336094854,1,2,2,"cyclin-dependent protein kinase holoenzyme complex","CC",1
"GO:0044665",0.279628105594059,1,2,2,"MLL1/2 complex","CC",1
"GO:0071339",0.279628105594059,1,2,2,"MLL1 complex","CC",1
"GO:0080008",0.279968045435747,1,2,2,"Cul4-RING E3 ubiquitin ligase complex","CC",1
"GO:0097386",0.28000567505557,1,2,2,"glial cell projection","CC",1
"GO:0097449",0.28000567505557,1,2,2,"astrocyte projection","CC",1
"GO:0098803",0.281458888618731,0.892914793003765,7,10,"respiratory chain complex","CC",1
"GO:0005746",0.282704328884931,0.892245329081848,7,10,"mitochondrial respirasome","CC",1
"GO:0071141",0.282989734446016,1,2,2,"SMAD protein complex","CC",1
"GO:0071144",0.282989734446016,1,2,2,"heteromeric SMAD protein complex","CC",1
"GO:0005945",0.283251045961265,1,2,2,"6-phosphofructokinase complex","CC",1
"GO:0098574",0.284448334184326,1,2,2,"cytoplasmic side of lysosomal membrane","CC",1
"GO:0005782",0.286147457480613,1,2,2,"peroxisomal matrix","CC",1
"GO:0031907",0.286147457480613,1,2,2,"microbody lumen","CC",1
"GO:0005795",0.286770137303251,0.912132548207486,5,7,"Golgi stack","CC",1
"GO:0031985",0.286770137303251,0.912132548207486,5,7,"Golgi cisterna","CC",1
"GO:0042599",0.288480940744391,1,2,2,"lamellar body","CC",1
"GO:0045095",0.288576809766352,1,2,2,"keratin filament","CC",1
"GO:0042382",0.288757967047581,1,2,2,"paraspeckles","CC",1
"GO:0045239",0.289162506221875,1,2,2,"tricarboxylic acid cycle enzyme complex","CC",1
"GO:0045240",0.289162506221875,1,2,2,"dihydrolipoyl dehydrogenase complex","CC",1
"GO:0048787",0.289302631022309,1,2,2,"presynaptic active zone membrane","CC",1
"GO:0032433",0.289979992657345,1,2,2,"filopodium tip","CC",1
"GO:0045177",0.292114582486815,0.86346243076037,9,14,"apical part of cell","CC",1
"GO:0005868",0.292875205925785,1,2,2,"cytoplasmic dynein complex","CC",1
"GO:0070761",0.29292394017731,1,2,2,"pre-snoRNP complex","CC",1
"GO:0070652",0.293331233933342,1,2,2,"HAUS complex","CC",1
"GO:1990498",0.293331233933342,1,2,2,"mitotic spindle microtubule","CC",1
"GO:0046540",0.294129922740665,1,2,2,"U4/U6 x U5 tri-snRNP complex","CC",1
"GO:0097526",0.294129922740665,1,2,2,"spliceosomal tri-snRNP complex","CC",1
"GO:0019814",0.295810238032812,1,2,2,"immunoglobulin complex","CC",1
"GO:0005811",0.296718620990935,0.907534058724793,5,7,"lipid droplet","CC",1
"GO:0005929",0.297912774797649,0.836029161189153,13,21,"cilium","CC",1
"GO:0180019",0.298609611223902,1,2,2,"Knl1/Spc105 complex","CC",1
"GO:0099023",0.299915331135253,1,2,2,"vesicle tethering complex","CC",1
"GO:0062023",0.312239495908912,0.850549560193403,9,14,"collagen-containing extracellular matrix","CC",1
"GO:0001650",0.325683493175685,0.832380282766581,10,16,"fibrillar center","CC",1
"GO:0005765",0.32745613205496,0.788013250893463,20,34,"lysosomal membrane","CC",1
"GO:0098852",0.32745613205496,0.788013250893463,20,34,"lytic vacuole membrane","CC",1
"GO:0030659",0.330702047251023,0.758373128282187,36,63,"cytoplasmic vesicle membrane","CC",1
"GO:0005912",0.331084443969823,0.86926986908199,6,9,"adherens junction","CC",1
"GO:0070062",0.335309244664225,0.73766513865585,58,103,"extracellular exosome","CC",1
"GO:0012506",0.338424298295061,0.750488066736804,37,65,"vesicle membrane","CC",1
"GO:0005737",0.34849467030369,0.705299795548532,340,627,"cytoplasm","CC",1
"GO:0005903",0.356038697758435,0.922465277179003,3,4,"brush border","CC",1
