"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0016773",0.00334837417275776,0.998891361427165,30,40,"phosphotransferase activity, alcohol group as acceptor","MF",1
"GO:0030246",0.0083222559399476,0.998753443474825,13,15,"carbohydrate binding","MF",1
"GO:0016301",0.00962304850604873,0.996120815446473,32,45,"kinase activity","MF",1
"GO:0005126",0.0103048005525466,0.999046486489767,10,11,"cytokine receptor binding","MF",1
"GO:0048029",0.0126338314081636,1,7,7,"monosaccharide binding","MF",1
"GO:0005319",0.0228069844591638,1,6,6,"lipid transporter activity","MF",1
"GO:0005201",0.0234778949342366,1,6,6,"extracellular matrix structural constituent","MF",1
"GO:0042802",0.0263654711603224,0.984081543611575,68,108,"identical protein binding","MF",1
"GO:0004672",0.0322581150852656,0.987212072625068,22,31,"protein kinase activity","MF",1
"GO:0003823",0.0380471486588002,0.995508769130825,8,9,"antigen binding","MF",1
"GO:0015081",0.041804032099425,1,5,5,"sodium ion transmembrane transporter activity","MF",1
"GO:0019200",0.0439661702241775,1,5,5,"carbohydrate kinase activity","MF",1
"GO:0030882",0.0480037249767439,1,5,5,"lipid antigen binding","MF",1
"GO:0030883",0.0480037249767439,1,5,5,"endogenous lipid antigen binding","MF",1
"GO:0030884",0.0480037249767439,1,5,5,"exogenous lipid antigen binding","MF",1
"GO:0071723",0.0480037249767439,1,5,5,"lipopeptide binding","MF",1
"GO:0046332",0.0529302345794739,0.99341907442258,7,8,"SMAD binding","MF",1
"GO:0022804",0.0531801355320418,0.979513487930268,18,25,"active transmembrane transporter activity","MF",1
"GO:0097367",0.0620447758595201,0.957469696188516,86,144,"carbohydrate derivative binding","MF",1
"GO:0016772",0.0643086811664861,0.963831981167316,37,58,"transferase activity, transferring phosphorus-containing groups","MF",1
"GO:0016740",0.0721894092223941,0.950901579505178,76,127,"transferase activity","MF",1
"GO:0140303",0.0774945865818487,1,4,4,"intramembrane lipid transporter activity","MF",1
"GO:0140326",0.0774945865818487,1,4,4,"ATPase-coupled intramembrane lipid transporter activity","MF",1
"GO:0032813",0.0779688324691048,1,4,4,"tumor necrosis factor receptor superfamily binding","MF",1
"GO:0008375",0.0793008484758367,1,4,4,"acetylglucosaminyltransferase activity","MF",1
"GO:0008175",0.0793042862043669,1,4,4,"tRNA methyltransferase activity","MF",1
"GO:0050840",0.079358057940911,1,4,4,"extracellular matrix binding","MF",1
"GO:0004713",0.0801418263235847,0.982614630188967,8,10,"protein tyrosine kinase activity","MF",1
"GO:0001618",0.0823532736449755,1,4,4,"virus receptor activity","MF",1
"GO:0140272",0.0823532736449755,1,4,4,"exogenous protein binding","MF",1
"GO:0005548",0.0824037549132546,1,4,4,"phospholipid transporter activity","MF",1
"GO:0004896",0.0875543835181192,0.987799058523622,6,7,"cytokine receptor activity","MF",1
"GO:0022853",0.0902002242364952,0.979727726257842,8,10,"active monoatomic ion transmembrane transporter activity","MF",1
"GO:0004674",0.0967668526444032,0.957309381658986,17,25,"protein serine/threonine kinase activity","MF",1
"GO:0015399",0.114837706701307,0.960411786345169,11,15,"primary active transmembrane transporter activity","MF",1
"GO:1901702",0.117032998065848,0.955667000317538,12,17,"salt transmembrane transporter activity","MF",1
"GO:0008233",0.121992872350501,0.953312601862012,12,17,"peptidase activity","MF",1
"GO:0046983",0.127359899171696,0.919348558968594,40,65,"protein dimerization activity","MF",1
"GO:0004175",0.132824502440368,0.967414667456652,7,9,"endopeptidase activity","MF",1
"GO:0005198",0.136598320303256,0.927030539413608,22,34,"structural molecule activity","MF",1
"GO:0016757",0.137231050210061,0.951387539353066,10,14,"glycosyltransferase activity","MF",1
"GO:0004712",0.143204340164745,0.977278188415813,5,6,"protein serine/threonine/tyrosine kinase activity","MF",1
"GO:0008235",0.143372546377794,0.977240017072559,5,6,"metalloexopeptidase activity","MF",1
"GO:0005496",0.145728448156233,0.976702980316398,5,6,"steroid binding","MF",1
"GO:0140328",0.147109247804137,1,3,3,"floppase activity","MF",1
"GO:0015293",0.147218913986385,1,3,3,"symporter activity","MF",1
