"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","p_adj"
"00051",0.0332121511994645,1,6,6,1
"04640",0.037764068605286,0.992806894387889,11,13,1
"04060",0.0475365032007051,0.994126268078145,8,9,1
"00052",0.0596904931443149,1,5,5,1
"01100",0.0905040393517,0.945210183152814,54,84,1
"00500",0.102879563842592,1,4,4,1
"00520",0.104842216139748,1,4,4,1
"00480",0.107525945158065,1,4,4,1
"04360",0.119511287593001,0.971121217303024,8,10,1
"00010",0.181590626947354,0.950787211868197,7,9,1
"00350",0.184344102888327,0.967646048397718,5,6,1
"00260",0.18608125054887,1,3,3,1
"04146",0.187098809676501,1,3,3,1
"04110",0.283261851968682,0.941961670760302,4,5,1
"00030",0.28656744353529,0.940884102407838,4,5,1
"03320",0.317677825197395,1,2,2,1
"00510",0.317745493430912,1,2,2,1
"00561",0.318428077504123,1,2,2,1
"00512",0.324713609643884,1,2,2,1
"00360",0.327005009165424,1,2,2,1
"00410",0.327005009165424,1,2,2,1
"00190",0.327944684968959,0.850687133520051,9,13,1
"00532",0.327970857099448,1,2,2,1
"05012",0.329968380905343,0.849402009627319,9,13,1
"00980",0.330792891507957,1,2,2,1
"00982",0.330792891507957,1,2,2,1
"00760",0.331149993316494,1,2,2,1
"02010",0.413576818885345,0.900213172475793,3,4,1
"04972",0.414953956515353,0.899623825061175,3,4,1
"00240",0.417188470913607,0.817418793596532,6,9,1
"00564",0.41962984935303,0.897607786860102,3,4,1
"05320",0.426465302209441,0.894618611511189,3,4,1
"00900",0.438914244343673,0.889044224341752,3,4,1
"04962",0.440548990503039,0.888299523495823,3,4,1
"04260",0.464077599951161,0.877245528187704,3,4,1
"04350",0.479464807639735,0.814589663872769,4,6,1
"04010",0.497265916403059,0.682738724675001,12,20,1
"04514",0.530634303205073,0.741770217303968,5,8,1
"00920",0.564213843185032,1.00000000000001,1,1,1
"04512",0.564213843185276,1,1,1,1
"00340",0.564213843185296,1,1,1,1
"04744",0.564213843185318,1,1,1,1
"00740",0.564213843185462,0.999999999999999,1,1,1
"04976",0.564213843185946,0.999999999999997,1,1,1
"00524",0.564214932863637,0.999999999999996,1,1,1
"00592",0.564406021510297,0.999999999999996,1,1,1
"00830",0.569310845006559,1,1,1,1
"03040",0.569947651462852,0.681633252883701,6,10,1
"00270",0.571563203874926,1,1,1,1
"00601",0.575232854316097,1,1,1,1
"00590",0.576674740450295,0.999999999999995,1,1,1
"04130",0.583091160449374,1,1,1,1
"00670",0.587986878071559,0.999999999999995,1,1,1
"01040",0.597060794065178,0.821150207400295,2,3,1
"04970",0.600544443125647,0.818887577935713,2,3,1
"00020",0.606206975504658,0.815162541742951,2,3,1
"04710",0.607482130513977,0.814315528093404,2,3,1
"04612",0.622744479932115,0.803938253178162,2,3,1
"04115",0.629712250631889,0.715370875031664,3,5,1
"03015",0.630237881432098,0.714907752756325,3,5,1
"05340",0.641435393591624,0.704907807958168,3,5,1
"04520",0.644424077235156,0.652657278659492,4,7,1
"04662",0.675619680090221,0.587103149697456,5,9,1
"04310",0.774003824630593,0.454966040790917,5,10,1
"05211",0.777073316421299,0.479290965757605,4,8,1
"04916",0.779663613414103,0.475839154849851,4,8,1
"04142",0.779944632454311,0.4471156088257,5,10,1
"04150",0.780704651995921,0.583729052526853,2,4,1
"05216",0.786226189357382,0.576442763901273,2,4,1
"05323",0.786419054003604,0.508187381701272,3,6,1
"04144",0.788167228015543,0.4153681814538,6,12,1
"04622",0.79095703231424,0.46053885978699,4,8,1
"05219",0.791975422698472,0.568714827866488,2,4,1
"04623",0.793993069344257,0.565967694536043,2,4,1
"04660",0.797882273811045,0.386392901987096,7,14,1
"05010",0.808888063763026,0.407381391105694,5,10,1
"04330",0.810903851092133,0.682475467453019,1,2,1
"04742",0.81127193197827,0.681997685210036,1,2,1
"05217",0.812187445190176,0.680805714621983,1,2,1
"04080",0.81223806844465,0.680739654246343,1,2,1
"00514",0.81463675657079,0.67759127363566,1,2,1
"03022",0.815421407362659,0.676553566194391,1,2,1
"03420",0.815421407362681,0.676553566194368,1,2,1
"00563",0.816677807239915,0.674883841272894,1,2,1
"03020",0.817858570302229,0.673305437209396,1,2,1
"00511",0.818720879404112,0.672147048902519,1,2,1
"05016",0.820564298647644,0.354986156151021,7,14,1
"04122",0.820786056898783,0.669353055679809,1,2,1
"00072",0.821144865825231,0.668864756964795,1,2,1
"00280",0.821144865825231,0.668864756964795,1,2,1
"00650",0.821144865825231,0.668864756964795,1,2,1
"00310",0.823211586225857,0.666035468555543,1,2,1
"00380",0.823211586225857,0.666035468555543,1,2,1
"04672",0.823480369206832,0.665665402433536,1,2,1
"05310",0.823480369206832,0.665665402433536,1,2,1
