"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","p_adj"
"GO:0000002",1,1,2,2,"mitochondrial genome maintenance","BP",1
"GO:0000003",1,1,55,55,"reproduction","BP",1
"GO:0000018",1,1,12,12,"regulation of DNA recombination","BP",1
"GO:0000022",1,1,1,1,"mitotic spindle elongation","BP",1
"GO:0000023",1,1,1,1,"maltose metabolic process","BP",1
"GO:0000027",1,1,3,3,"ribosomal large subunit assembly","BP",1
"GO:0000038",1,1,1,1,"very long-chain fatty acid metabolic process","BP",1
"GO:0000041",1,1,1,1,"transition metal ion transport","BP",1
"GO:0000045",1,1,6,6,"autophagosome assembly","BP",1
"GO:0000054",1,1,5,5,"ribosomal subunit export from nucleus","BP",1
"GO:0000055",1,1,2,2,"ribosomal large subunit export from nucleus","BP",1
"GO:0000056",1,1,2,2,"ribosomal small subunit export from nucleus","BP",1
"GO:0000070",1,1,18,18,"mitotic sister chromatid segregation","BP",1
"GO:0000075",1,1,14,14,"cell cycle checkpoint signaling","BP",1
"GO:0000076",1,1,1,1,"DNA replication checkpoint signaling","BP",1
"GO:0000077",1,1,8,8,"DNA damage checkpoint signaling","BP",1
"GO:0000079",1,1,7,7,"regulation of cyclin-dependent protein serine/threonine kinase activity","BP",1
"GO:0000082",1,1,16,16,"G1/S transition of mitotic cell cycle","BP",1
"GO:0000083",1,1,3,3,"regulation of transcription involved in G1/S transition of mitotic cell cycle","BP",1
"GO:0000086",1,1,10,10,"G2/M transition of mitotic cell cycle","BP",1
"GO:0000096",1,1,2,2,"sulfur amino acid metabolic process","BP",1
"GO:0000098",1,1,1,1,"sulfur amino acid catabolic process","BP",1
"GO:0000101",1,1,1,1,"sulfur amino acid transport","BP",1
"GO:0000122",1,1,50,50,"negative regulation of transcription by RNA polymerase II","BP",1
"GO:0000132",1,1,3,3,"establishment of mitotic spindle orientation","BP",1
"GO:0000154",1,1,4,4,"rRNA modification","BP",1
"GO:0000165",1,1,40,40,"MAPK cascade","BP",1
"GO:0000184",1,1,1,1,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay","BP",1
"GO:0000209",1,1,10,10,"protein polyubiquitination","BP",1
"GO:0000212",1,1,1,1,"meiotic spindle organization","BP",1
"GO:0000226",1,1,35,35,"microtubule cytoskeleton organization","BP",1
"GO:0000244",1,1,1,1,"spliceosomal tri-snRNP complex assembly","BP",1
"GO:0000245",1,1,5,5,"spliceosomal complex assembly","BP",1
"GO:0000255",1,1,1,1,"allantoin metabolic process","BP",1
"GO:0000266",1,1,4,4,"mitochondrial fission","BP",1
"GO:0000271",1,1,5,5,"polysaccharide biosynthetic process","BP",1
"GO:0000272",1,1,2,2,"polysaccharide catabolic process","BP",1
"GO:0000278",1,1,55,55,"mitotic cell cycle","BP",1
"GO:0000280",1,1,28,28,"nuclear division","BP",1
"GO:0000281",1,1,6,6,"mitotic cytokinesis","BP",1
"GO:0000288",1,1,1,1,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay","BP",1
"GO:0000290",1,1,1,1,"deadenylation-dependent decapping of nuclear-transcribed mRNA","BP",1
"GO:0000302",1,1,10,10,"response to reactive oxygen species","BP",1
"GO:0000303",1,1,1,1,"response to superoxide","BP",1
"GO:0000305",1,1,1,1,"response to oxygen radical","BP",1
"GO:0000375",1,1,22,22,"RNA splicing, via transesterification reactions","BP",1
"GO:0000377",1,1,21,21,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","BP",1
"GO:0000380",1,1,6,6,"alternative mRNA splicing, via spliceosome","BP",1
"GO:0000381",1,1,4,4,"regulation of alternative mRNA splicing, via spliceosome","BP",1
"GO:0000387",1,1,1,1,"spliceosomal snRNP assembly","BP",1
"GO:0000395",1,1,2,2,"mRNA 5'-splice site recognition","BP",1
"GO:0000398",1,1,21,21,"mRNA splicing, via spliceosome","BP",1
"GO:0000413",1,1,1,1,"protein peptidyl-prolyl isomerization","BP",1
"GO:0000422",1,1,4,4,"autophagy of mitochondrion","BP",1
"GO:0000423",1,1,1,1,"mitophagy","BP",1
"GO:0000447",1,1,1,1,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000454",1,1,1,1,"snoRNA guided rRNA pseudouridine synthesis","BP",1
"GO:0000460",1,1,1,1,"maturation of 5.8S rRNA","BP",1
"GO:0000462",1,1,5,5,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000463",1,1,1,1,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000466",1,1,1,1,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000470",1,1,2,2,"maturation of LSU-rRNA","BP",1
"GO:0000472",1,1,1,1,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000479",1,1,1,1,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000480",1,1,1,1,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)","BP",1
"GO:0000491",1,1,1,1,"small nucleolar ribonucleoprotein complex assembly","BP",1
"GO:0000492",1,1,1,1,"box C/D snoRNP assembly","BP",1
