Accession,Organismo,Gen,Producto,Proteína
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dnaA,chromosomal replication initiator protein DnaA,WVL21265.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dnaN,DNA polymerase III subunit beta,WVL21266.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recF,DNA replication/repair protein RecF,WVL21267.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,WVL21268.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LysR family transcriptional regulator,WVL21269.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,mandelate racemase/muconate lactonizing enzyme family protein,WVL21270.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21271.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yidA,sugar-phosphatase,WVL21272.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dgoR,D-galactonate utilization transcriptional regulator DgoR,WVL21273.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,2-dehydro-3-deoxygalactonokinase,WVL21274.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,WVL21275.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dgoD,galactonate dehydratase,WVL21276.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21277.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torS,TMAO reductase system sensor histidine kinase/response regulator TorS,WVL21278.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torT,TMAO reductase system periplasmic protein TorT,WVL21279.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torR,two-component system response regulator TorR,WVL23586.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torC,pentaheme c-type cytochrome TorC,WVL21280.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torA,trimethylamine-N-oxide reductase TorA,WVL21281.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torD,molecular chaperone TorD,WVL21282.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,cytochrome-c peroxidase,WVL21283.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA,WVL23587.1
CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmB,heme exporter protein CcmB,WVL21284.1
