Organismo,Frecuencia
Salmonella enterica subsp. enterica,13561
Salmonella enterica subsp. enterica serovar Typhimurium,9450
Salmonella enterica subsp. enterica serovar Bareilly,8881
Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,4671
Ebola virus,72
Zaire ebolavirus,63
human papillomavirus 124,7
dengue virus type 2,5
Human papillomavirus,4
Influenza A virus,3
Influenza A virus (A/swine/Shandong/2/03(H5N1)),3
Influenza A virus (A/plateau pika/Qinghai/04/2007(H5N1)),3
Influenza A virus (A/environment/Qinghai/1/2008(H5N1)),3
Influenza A virus (A/swine/Shandong/8/2003(H9N2)),3
Salmonella enterica subsp. enterica serovar Enteritidis,2
Influenza A virus (A/chicken/Shandong/LY-1/2008(H9N2)),2
Influenza A virus (A/mallard/Southcentral Alaska/15ML00407/2015(H11N9)),1
Influenza A virus (A/baikal teal/Xianghai/XH-28C/2012(H3N1)),1
Influenza A virus (A/chicken/Nanchang/4-301/2001(H9N2)),1
