Archivo_aln,Accession,Organismo,Gen,Producto,Proteína
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dnaA,chromosomal replication initiator protein DnaA,WVL21265.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dnaN,DNA polymerase III subunit beta,WVL21266.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,recF,DNA replication/repair protein RecF,WVL21267.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,gyrB,DNA topoisomerase (ATP-hydrolyzing) subunit B,WVL21268.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,LysR family transcriptional regulator,WVL21269.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,mandelate racemase/muconate lactonizing enzyme family protein,WVL21270.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21271.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,yidA,sugar-phosphatase,WVL21272.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dgoR,D-galactonate utilization transcriptional regulator DgoR,WVL21273.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,2-dehydro-3-deoxygalactonokinase,WVL21274.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,2-dehydro-3-deoxy-6-phosphogalactonate aldolase,WVL21275.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dgoD,galactonate dehydratase,WVL21276.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21277.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torS,TMAO reductase system sensor histidine kinase/response regulator TorS,WVL21278.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torT,TMAO reductase system periplasmic protein TorT,WVL21279.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torR,two-component system response regulator TorR,WVL23586.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torC,pentaheme c-type cytochrome TorC,WVL21280.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torA,trimethylamine-N-oxide reductase TorA,WVL21281.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,torD,molecular chaperone TorD,WVL21282.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,cytochrome-c peroxidase,WVL21283.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmA,cytochrome c biogenesis heme-transporting ATPase CcmA,WVL23587.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmB,heme exporter protein CcmB,WVL21284.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,heme ABC transporter permease,WVL21285.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmD,heme exporter protein CcmD,WVL21286.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ccmE,cytochrome c maturation protein CcmE,WVL21287.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,heme lyase CcmF/NrfE family subunit,WVL21288.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dsbE,thiol:disulfide interchange protein DsbE,WVL21289.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,cytochrome c-type biogenesis protein CcmH,WVL21290.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF3748 domain-containing protein,WVL21291.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YceK/YidQ family lipoprotein,WVL23588.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ibpA,small heat shock chaperone IbpA,WVL21292.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ibpB,small heat shock chaperone IbpB,WVL21293.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,putative transporter,WVL21294.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,WVL21295.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YidH family protein,WVL21296.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF202 domain-containing protein,WVL21297.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,radical SAM protein,WVL21298.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dsdA,D-serine ammonia-lyase,WVL21299.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dsdX,D-serine transporter DsdX,WVL21300.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dsdC,DNA-binding transcriptional regulator DsdC,WVL23589.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,cellulase family glycosylhydrolase,WVL21301.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,emrD,multidrug efflux MFS transporter EmrD,WVL21302.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,EamA family transporter,WVL21303.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,tisB,type I toxin-antitoxin system toxin TisB,WVL21304.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,hypothetical protein,ND
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ivbL,ilvB operon leader peptide IvbL,WVL21305.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ilvB,acetolactate synthase large subunit,WVL21306.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ilvN,acetolactate synthase small subunit,WVL21307.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DeoR family transcriptional regulator,WVL21308.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,rbsK,ribokinase,WVL21309.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,fucP,L-fucose:H+ symporter permease,WVL21310.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,aldose 1-epimerase family protein,WVL21311.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,uhpA,transcriptional regulator UhpA,WVL21312.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,uhpB,signal transduction histidine-protein kinase/phosphatase UhpB,WVL21313.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MFS transporter,WVL21314.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,uhpT,hexose-6-phosphate:phosphate antiporter,WVL21315.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,DUF1198 domain-containing protein,WVL21316.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,helix-turn-helix domain-containing protein,WVL21317.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,type II toxin-antitoxin system RelE/ParE family toxin,WVL21318.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,nepI,purine ribonucleoside efflux pump NepI,WVL21319.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,glycoside hydrolase family 1 protein,WVL21320.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,YicS family protein,WVL21321.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dagR,transcriptional regulator DagR,WVL21322.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,PTS sugar transporter subunit IIA,WVL21323.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,PTS system mannose/fructose/N-acetylgalactosamine-transporter subunit IIB,WVL21324.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,PTS mannose/fructose/sorbose/N-acetylgalactosamine transporter subunit IIC,WVL21325.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,PTS system mannose/fructose/sorbose family transporter subunit IID,WVL21326.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dgaE,D-glucosaminate-6-phosphate ammonia lyase,WVL21327.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,dagF,2-dehydro-3-deoxy-phosphogluconate aldolase,WVL21328.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,Rpn family recombination-promoting nuclease/putative transposase,WVL21329.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,EamA family transporter,WVL21330.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,ND,MgtC family protein,WVL21331.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mgtA,magnesium-translocating P-type ATPase,WVL21332.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mgtR,protein MgtR,WVL21333.1
query_10_top5_alignment,CP140732.2,Salmonella enterica subsp. enterica serovar Newport str. A-211-TTX,mgtU,magnesium transporter protection protein MgtU,WVL23590.1
