Categoría;Detalles
Dieta general;"Rica en proteínas y grasas animales para enfrentar el clima extremo."
Fuentes de carne;"Reno (común entre pueblos nómadas como los Nénets); Alce, ciervo, oso; Caballo (Yakutia)"
Fuentes de pescado;"Salmón; Esturión; Lucio y otras especies de agua dulce"
Granos y vegetales;"Trigo sarraceno (kasha), centeno, cebada; Nabos, papas, raíces locales"
Frutas silvestres;"Arándanos, frambuesas, zarzamoras, moras"
¿Comen aves?;"Sí"
Aves silvestres;"Ganso salvaje; Pato salvaje; Urogallo; Perdiz nival; Grullas migratorias (ocasionales)"
Aves de corral;"Gallinas (huevos y carne); Gansos y patos domésticos (zonas sedentarias)"
Agua en zonas rurales;"Ríos, lagos, pozos naturales; Derretimiento de nieve/hielo en invierno; Se hierve para evitar enfermedades"
Agua en zonas urbanas;"Plantas de tratamiento; Ríos principales: Ob, Yeniséi, Lena; Embalses y fuentes subterráneas; Tuberías calefaccionadas en invierno"
