Gene	Start	End	Strand	Product
NP	470	2689	+	nucleoprotein
VP35	3129	4151	+	VP35
VP40	4479	5459	+	matrix protein
GP	6039	8068	+	virion spike glycoprotein precursor
GP	6039	7133	+	sGP
GP	6039	6933	+	ssGP
VP30	8509	9375	+	polymerase complex protein
VP24	10345	11100	+	VP24
L	11581	18219	+	polymerase
